Name:		TWA40C
Optimal value:	-1
#Vehicles:	-1
Capacity:	75
Depot Node:	1
#Nodes:	40
#Edges:	42
#Arcs:	27
#Required N:	15
#Required E:	27
#Required A:	21

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N40	4	0	4	112	164
N32	8	0	5	80	89
N13	6	0	6	146	164
N15	4	0	4	106	146
N27	7	0	5	134	153
N35	2	0	6	112	134
N2	1	0	14	134	146
N12	8	0	3	187	197
N16	6	0	5	99	180
N11	1	0	4	101	111
N8	7	0	5	129	137
N18	7	0	5	89	103
N19	3	0	3	121	154
N20	1	0	5	107	166
N22	8	0	6	199	205

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	6	31	8	8	8	16	8	80	109
E2	30	31	4	2	4	8	4	97	108
E3	9	33	6	1	6	12	6	158	168
E4	32	33	4	7	4	8	4	110	143
E5	6	29	5	5	5	10	5	105	146
E6	6	15	7	3	7	14	7	186	197
E7	16	28	5	5	5	10	5	122	148
E8	15	16	4	3	4	8	4	199	205
E9	13	14	5	6	5	10	5	119	146
E10	13	34	5	1	5	10	5	178	198
E11	34	35	4	8	4	8	4	145	167
E12	7	34	4	8	4	8	4	91	99
E13	1	13	4	9	4	8	4	89	109
E14	8	12	4	2	4	8	4	189	197
E15	1	11	3	5	3	6	3	100	109
E16	23	26	5	5	5	10	5	146	156
E17	7	17	6	2	6	12	6	145	186
E18	3	17	6	7	6	12	6	101	119
E19	4	19	8	1	8	16	8	98	124
E20	4	20	5	1	5	10	5	89	108
E21	10	21	5	6	5	10	5	132	164
E22	5	24	5	6	5	10	5	208	209
E23	25	26	5	8	5	10	5	185	197
E24	17	40	5	7	5	10	5	118	119
E25	33	37	4	5	4	8	4	165	176
E26	37	38	7	5	7	14	7	198	208
E27	36	38	5	6	5	10	5	207	222

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	29	32	5	10
NrE2	13	32	6	12
NrE3	26	27	5	10
NrE4	14	15	2	4
NrE5	2	35	6	12
NrE6	2	3	14	28
NrE7	1	12	3	6
NrE8	11	23	4	8
NrE9	7	8	5	10
NrE10	3	18	5	10
NrE11	18	19	3	6
NrE12	19	20	5	10
NrE13	4	21	5	10
NrE14	8	40	4	8
NrE15	35	36	3	6

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	31	9	8	9	8	16	8	109	112
A2	30	29	3	7	3	6	3	90	102
A3	27	6	7	9	7	14	7	132	135
A4	27	28	4	5	4	8	4	90	96
A5	1	14	5	8	5	10	5	146	176
A6	7	2	9	2	9	18	9	164	171
A7	13	12	4	1	4	8	4	157	187
A8	26	16	4	3	4	8	4	89	100
A9	11	8	5	9	5	10	5	177	188
A10	20	8	6	7	6	12	6	94	96
A11	20	18	4	3	4	8	4	89	197
A12	10	8	4	9	4	8	4	106	124
A13	10	22	6	4	6	12	6	164	176
A14	21	5	9	7	9	18	9	185	192
A15	22	24	5	3	5	10	5	108	120
A16	23	22	4	8	4	8	4	121	164
A17	24	25	4	3	4	8	4	137	158
A18	40	20	5	8	5	10	5	118	156
A19	17	39	3	1	3	6	3	109	121
A20	36	37	5	5	5	10	5	187	189
A21	2	38	7	9	7	14	7	106	197

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	29	15	6	12
NrA2	35	33	5	10
NrA3	28	15	4	8
NrA4	11	16	5	10
NrA5	22	5	6	12
NrA6	39	7	6	12
