Name:		TWA40D
Optimal value:	-1
#Vehicles:	-1
Capacity:	75
Depot Node:	1
#Nodes:	40
#Edges:	45
#Arcs:	24
#Required N:	14
#Required E:	32
#Required A:	17

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N15	3	0	21	186	197
N26	7	0	15	134	153
N16	3	0	12	199	205
N2	1	0	42	134	146
N34	8	0	12	91	99
N12	1	0	12	157	187
N8	2	0	12	189	197
N11	1	0	12	101	111
N23	5	0	15	146	156
N20	7	0	18	94	96
N4	1	0	24	98	124
N21	7	0	27	185	192
N36	5	0	15	187	189
N38	5	0	21	198	208

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	6	31	8	8	8	16	24	80	109
E2	9	31	8	9	8	16	24	109	112
E3	9	33	6	1	6	12	18	158	168
E4	32	33	4	7	4	8	12	110	143
E5	29	32	5	8	5	10	15	80	89
E6	6	29	5	5	5	10	15	105	146
E7	13	32	6	6	6	12	18	146	164
E8	27	28	4	5	4	8	12	90	96
E9	15	28	4	4	4	8	12	106	146
E10	13	14	5	6	5	10	15	119	146
E11	1	14	5	8	5	10	15	146	176
E12	34	35	4	8	4	8	12	145	167
E13	2	35	6	2	6	12	18	112	134
E14	2	7	9	2	9	18	27	164	171
E15	1	12	3	8	3	6	9	187	197
E16	11	16	5	6	5	10	15	99	180
E17	16	26	4	3	4	8	12	89	100
E18	8	11	5	9	5	10	15	177	188
E19	7	17	6	2	6	12	18	145	186
E20	3	17	6	7	6	12	18	101	119
E21	18	20	4	3	4	8	12	89	197
E22	18	19	3	3	3	6	9	121	154
E23	10	21	5	6	5	10	15	132	164
E24	5	22	6	8	6	12	18	199	205
E25	22	24	5	3	5	10	15	108	120
E26	22	23	4	8	4	8	12	121	164
E27	8	40	4	4	4	8	12	112	164
E28	20	40	5	8	5	10	15	118	156
E29	17	40	5	7	5	10	15	118	119
E30	33	37	4	5	4	8	12	165	176
E31	36	38	5	6	5	10	15	207	222
E32	2	38	7	9	7	14	21	106	197

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	6	15	7	14
NrE2	15	29	6	12
NrE3	26	27	5	10
NrE4	15	16	4	8
NrE5	14	15	2	4
NrE6	7	34	4	8
NrE7	12	13	4	8
NrE8	8	12	4	8
NrE9	23	26	5	10
NrE10	4	19	8	16
NrE11	4	21	5	10
NrE12	7	39	6	12
NrE13	37	38	7	14

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	30	31	4	2	4	8	12	97	108
A2	29	30	3	7	3	6	9	90	102
A3	27	6	7	9	7	14	21	132	135
A4	16	28	5	5	5	10	15	122	148
A5	13	34	5	1	5	10	15	178	198
A6	1	13	4	9	4	8	12	89	109
A7	11	1	3	5	3	6	9	100	109
A8	8	7	5	7	5	10	15	129	137
A9	18	3	5	7	5	10	15	89	103
A10	20	19	5	1	5	10	15	107	166
A11	4	20	5	1	5	10	15	89	108
A12	10	8	4	9	4	8	12	106	124
A13	10	22	6	4	6	12	18	164	176
A14	24	5	5	6	5	10	15	208	209
A15	24	25	4	3	4	8	12	137	158
A16	25	26	5	8	5	10	15	185	197
A17	17	39	3	1	3	6	9	109	121

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	35	33	5	10
NrA2	3	2	14	28
NrA3	11	23	4	8
NrA4	8	20	6	12
NrA5	21	5	9	18
NrA6	36	35	3	6
NrA7	37	36	5	10
