Name:		TWB20B
Optimal value:	-1
#Vehicles:	-1
Capacity:	25
Depot Node:	1
#Nodes:	20
#Edges:	20
#Arcs:	11
#Required N:	6
#Required E:	16
#Required A:	7

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N17	8	0	8	40	70
N19	8	0	6	39	59
N9	5	0	8	37	50
N4	1	0	4	37	56
N7	9	0	8	27	40
N15	9	0	6	43	67

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	15	19	4	4	4	4	8	42	72
E2	2	17	3	9	3	3	6	9	29
E3	1	2	4	4	4	4	8	0	34
E4	2	3	4	9	4	4	8	13	26
E5	18	20	3	1	3	3	6	47	68
E6	6	7	5	4	5	5	10	37	51
E7	7	8	5	1	5	5	10	38	56
E8	8	9	3	8	3	3	6	44	59
E9	8	11	4	6	4	4	8	31	45
E10	10	11	4	1	4	4	8	54	69
E11	10	14	4	1	4	4	8	38	62
E12	13	15	6	9	6	6	12	34	49
E13	13	14	3	5	3	3	6	39	67
E14	12	13	2	3	2	2	4	49	74
E15	11	12	3	2	3	3	6	39	58
E16	11	14	5	8	5	5	10	49	67

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	16	17	4	4
NrE2	17	18	4	4
NrE3	4	5	2	2
NrE4	4	7	4	4

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	15	16	8	7	8	8	16	0	60
A2	3	6	7	6	7	7	14	15	37
A3	20	1	4	5	4	4	8	13	34
A4	4	1	3	8	3	3	6	24	38
A5	10	20	3	1	3	3	6	41	59
A6	5	6	3	5	3	3	6	64	89
A7	9	10	3	5	3	3	6	49	62

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	19	18	3	3
NrA2	1	3	6	6
NrA3	9	1	4	4
NrA4	14	15	3	3
