Name:		TWB60A
Optimal value:	-1
#Vehicles:	-1
Capacity:	25
Depot Node:	1
#Nodes:	60
#Edges:	46
#Arcs:	44
#Required N:	18
#Required E:	34
#Required A:	29

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N46	6	0	7	40	65
N56	2	0	9	30	55
N53	1	0	10	55	80
N59	8	0	7	55	80
N3	3	0	6	45	70
N21	3	0	7	55	80
N11	6	0	5	35	55
N17	7	0	7	40	65
N41	6	0	7	30	55
N16	1	0	5	35	55
N20	2	0	8	55	80
N44	7	0	5	55	80
N26	1	0	5	35	55
N32	3	0	5	35	55
N31	7	0	6	40	65
N35	2	0	6	55	80
N37	9	0	7	40	65
N38	6	0	7	35	65

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	1	2	4	5	4	4	4	35	60
E2	1	16	5	7	5	5	5	40	65
E3	1	18	6	9	6	6	6	30	65
E4	4	35	6	1	6	6	6	35	55
E5	7	12	6	5	6	6	6	40	65
E6	8	9	6	7	6	6	6	40	65
E7	8	10	8	8	8	8	8	35	55
E8	9	23	8	1	8	8	8	40	65
E9	10	26	6	9	6	6	6	40	65
E10	11	27	8	1	8	8	8	40	65
E11	12	32	8	4	8	8	8	35	55
E12	17	39	8	8	8	8	8	55	80
E13	18	42	7	7	7	7	7	30	55
E14	19	43	6	9	6	6	6	40	65
E15	20	21	6	2	6	6	6	35	55
E16	21	22	7	4	7	7	7	30	55
E17	22	23	5	6	5	5	5	55	80
E18	23	24	6	7	6	6	6	40	65
E19	25	28	7	8	7	7	7	40	65
E20	27	29	9	6	9	9	9	55	80
E21	32	33	6	9	6	6	6	30	55
E22	34	35	8	3	8	8	8	55	80
E23	36	38	6	6	6	6	6	30	55
E24	37	58	16	8	16	16	16	55	80
E25	40	41	5	1	5	5	5	40	65
E26	40	53	9	2	9	9	9	30	55
E27	42	43	7	3	7	7	7	55	80
E28	44	45	8	9	8	8	8	30	65
E29	46	47	4	3	4	4	4	55	80
E30	48	49	5	1	5	5	5	55	80
E31	49	50	6	8	6	6	6	55	80
E32	49	55	8	4	8	8	8	30	55
E33	50	51	6	7	6	6	6	40	65
E34	58	60	8	5	8	8	8	40	65

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	3	5	6	6
NrE2	9	10	6	6
NrE3	10	11	5	5
NrE4	28	29	5	5
NrE5	30	32	5	5
NrE6	30	31	6	6
NrE7	36	37	7	7
NrE8	38	54	7	7
NrE9	45	50	6	6
NrE10	52	56	9	9
NrE11	53	54	7	7
NrE12	57	59	7	7

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	2	9	6	3	6	6	6	25	50
A2	20	2	7	7	7	7	7	30	65
A3	3	8	6	4	6	6	6	35	55
A4	4	17	5	8	5	5	5	40	65
A5	6	5	5	7	5	5	5	40	65
A6	7	5	6	8	6	6	6	40	65
A7	34	6	8	1	8	8	8	35	55
A8	8	7	5	4	5	5	5	25	50
A9	12	11	5	4	5	5	5	55	80
A10	33	13	9	7	9	9	9	55	80
A11	15	14	10	8	10	10	10	55	80
A12	14	33	6	2	6	6	6	55	80
A13	35	17	8	2	8	8	8	25	50
A14	17	40	7	5	7	7	7	40	65
A15	19	18	8	4	8	8	8	35	55
A16	23	25	6	8	6	6	6	55	80
A17	26	27	4	9	4	4	4	30	55
A18	27	30	5	2	5	5	5	55	80
A19	39	38	6	4	6	6	6	55	80
A20	41	42	6	7	6	6	6	55	80
A21	42	51	6	6	6	6	6	55	80
A22	44	43	4	8	4	4	4	55	80
A23	45	47	8	5	8	8	8	40	65
A24	51	52	7	5	7	7	7	55	80
A25	53	52	6	6	6	6	6	55	80
A26	55	56	8	9	8	8	8	40	65
A27	56	60	9	6	9	9	9	55	80
A28	58	57	9	6	9	9	9	30	65
A29	59	60	8	5	8	8	8	55	80

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	2	3	5	5
NrA2	4	5	4	4
NrA3	21	9	7	7
NrA4	13	12	6	6
NrA5	34	15	8	8
NrA6	17	16	7	7
NrA7	41	16	7	7
NrA8	16	18	5	5
NrA9	20	19	8	8
NrA10	44	19	5	5
NrA11	25	26	5	5
NrA12	36	35	6	6
NrA13	40	39	5	5
NrA14	46	45	7	7
NrA15	60	53	10	10
