Name:		TWC13A
Optimal value:	-1
#Vehicles:	-1
Capacity:	50
Depot Node:	1
#Nodes:	13
#Edges:	11
#Arcs:	12
#Required N:	4
#Required E:	9
#Required A:	9

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N2	3	0	15	109	151
N3	8	0	6	85	128
N6	2	0	9	87	139
N4	4	0	9	85	125

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	9	10	3	2	3	6	9	86	128
E2	2	8	6	1	6	12	18	78	129
E3	4	8	5	1	5	10	15	69	117
E4	6	8	5	8	5	10	15	71	109
E5	6	7	4	7	4	8	12	89	122
E6	6	11	2	7	2	4	6	85	152
E7	5	11	4	4	4	8	12	79	128
E8	3	12	3	4	3	6	9	92	131
E9	3	13	3	1	3	6	9	98	144

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	3	4	2	4
NrE2	5	6	3	6

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	9	7	5	4	5	10	15	70	116
A2	9	8	4	1	4	8	12	66	100
A3	2	1	3	6	3	6	9	88	144
A4	2	3	6	5	6	12	18	91	145
A5	3	1	4	5	4	8	12	36	100
A6	1	4	4	1	4	8	12	77	114
A7	11	7	3	9	3	6	9	70	140
A8	12	5	3	8	3	6	9	69	117
A9	13	12	5	7	5	10	15	79	110

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	2	10	4	8
NrA2	4	5	3	6
NrA3	2	13	5	10
