Name:		TWC20B
Optimal value:	-1
#Vehicles:	-1
Capacity:	25
Depot Node:	1
#Nodes:	20
#Edges:	15
#Arcs:	16
#Required N:	9
#Required E:	8
#Required A:	12

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N14	8	0	10	39	77
N16	7	0	16	0	70
N19	8	0	6	29	69
N2	4	0	8	0	44
N18	1	0	6	37	78
N4	9	0	8	17	50
N5	5	0	6	54	99
N7	1	0	10	28	66
N8	6	0	8	21	55

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	16	17	4	8	4	4	8	30	80
E2	2	17	3	9	3	3	6	0	39
E3	2	3	4	9	4	4	8	3	36
E4	6	7	5	4	5	5	10	27	61
E5	14	15	3	9	3	3	6	33	77
E6	13	15	6	9	6	6	12	24	59
E7	13	14	3	5	3	3	6	29	77
E8	11	12	3	2	3	3	6	29	68

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	15	16	8	8
NrE2	1	2	4	4
NrE3	1	3	6	6
NrE4	18	20	3	3
NrE5	5	6	3	3
NrE6	7	8	5	5
NrE7	8	11	4	4

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	19	15	4	4	4	4	8	32	82
A2	3	6	7	6	7	7	14	5	47
A3	1	20	4	5	4	4	8	3	44
A4	4	1	3	8	3	3	6	14	48
A5	9	1	4	5	4	4	8	27	60
A6	20	10	3	1	3	3	6	31	69
A7	4	5	2	1	2	2	4	27	66
A8	8	9	3	8	3	3	6	34	69
A9	10	11	4	1	4	4	8	44	79
A10	9	10	3	5	3	3	6	39	72
A11	10	14	4	1	4	4	8	28	72
A12	13	12	2	3	2	2	4	39	84

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	18	19	3	3
NrA2	18	17	4	4
NrA3	7	4	4	4
NrA4	11	14	5	5
