Name:		TWC40D
Optimal value:	-1
#Vehicles:	-1
Capacity:	75
Depot Node:	1
#Nodes:	40
#Edges:	28
#Arcs:	41
#Required N:	16
#Required E:	19
#Required A:	28

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N17	7	0	15	108	139
N37	5	0	21	188	228
N6	8	0	24	70	129
N29	7	0	9	80	122
N16	3	0	12	189	225
N13	6	0	15	109	166
N34	1	0	15	168	218
N12	8	0	9	177	217
N11	5	0	9	90	129
N23	5	0	15	136	176
N3	7	0	18	91	139
N4	1	0	15	79	128
N22	8	0	18	189	225
N5	6	0	15	198	229
N24	3	0	12	127	178
N40	4	0	12	102	184

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	9	31	8	9	8	16	24	99	132
E2	9	33	6	1	6	12	18	148	188
E3	29	32	5	8	5	10	15	70	109
E4	13	32	6	6	6	12	18	136	184
E5	15	28	4	4	4	8	12	96	166
E6	26	27	5	7	5	10	15	124	173
E7	1	14	5	8	5	10	15	136	196
E8	34	35	4	8	4	8	12	135	187
E9	2	35	6	2	6	12	18	102	154
E10	1	13	4	9	4	8	12	79	129
E11	12	13	4	1	4	8	12	147	207
E12	11	16	5	6	5	10	15	89	200
E13	11	23	4	1	4	8	12	91	131
E14	18	19	3	3	3	6	9	111	174
E15	19	20	5	1	5	10	15	97	186
E16	5	21	9	7	9	18	27	175	212
E17	20	40	5	8	5	10	15	108	176
E18	17	39	3	1	3	6	9	99	141
E19	36	37	5	5	5	10	15	177	209

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	6	31	8	16
NrE2	29	30	3	6
NrE3	33	35	5	10
NrE4	23	26	5	10
NrE5	4	21	5	10
NrE6	5	24	5	10
NrE7	24	25	4	8
NrE8	7	39	6	12
NrE9	37	38	7	14

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	31	30	4	2	4	8	12	87	128
A2	33	32	4	7	4	8	12	100	163
A3	29	6	5	5	5	10	15	95	166
A4	6	27	7	9	7	14	21	122	155
A5	15	6	7	3	7	14	21	176	217
A6	28	27	4	5	4	8	12	80	116
A7	28	16	5	5	5	10	15	112	168
A8	2	3	14	1	14	28	42	124	166
A9	2	7	9	2	9	18	27	154	191
A10	7	34	4	8	4	8	12	81	119
A11	8	12	4	2	4	8	12	179	217
A12	16	26	4	3	4	8	12	79	120
A13	8	11	5	9	5	10	15	167	208
A14	8	7	5	7	5	10	15	119	157
A15	17	7	6	2	6	12	18	135	206
A16	18	3	5	7	5	10	15	79	123
A17	20	8	6	7	6	12	18	84	116
A18	18	20	4	3	4	8	12	79	217
A19	4	19	8	1	8	16	24	88	144
A20	10	8	4	9	4	8	12	96	144
A21	21	10	5	6	5	10	15	122	184
A22	22	10	6	4	6	12	18	154	196
A23	22	24	5	3	5	10	15	98	140
A24	22	23	4	8	4	8	12	111	184
A25	26	25	5	8	5	10	15	175	217
A26	37	33	4	5	4	8	12	155	196
A27	36	38	5	6	5	10	15	197	242
A28	2	38	7	9	7	14	21	96	217

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	29	15	6	12
NrA2	15	16	4	8
NrA3	15	14	2	4
NrA4	13	14	5	10
NrA5	13	34	5	10
NrA6	1	12	3	6
NrA7	1	11	3	6
NrA8	3	17	6	12
NrA9	4	20	5	10
NrA10	5	22	6	12
NrA11	8	40	4	8
NrA12	40	17	5	10
NrA13	35	36	3	6
