Name:		TWC60A
Optimal value:	-1
#Vehicles:	-1
Capacity:	25
Depot Node:	1
#Nodes:	60
#Edges:	47
#Arcs:	43
#Required N:	26
#Required E:	27
#Required A:	28

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N42	6	0	6	45	90
N47	3	0	4	45	90
N50	8	0	6	45	90
N52	5	0	7	45	90
N59	5	0	8	45	90
N3	4	0	6	25	65
N17	8	0	5	30	75
N5	7	0	5	30	75
N34	1	0	8	25	65
N8	8	0	8	25	65
N10	9	0	6	30	75
N12	4	0	5	45	90
N35	2	0	8	15	60
N39	8	0	8	45	90
N19	4	0	8	25	65
N18	7	0	7	20	65
N20	2	0	8	45	90
N22	4	0	7	20	65
N24	7	0	6	30	75
N29	6	0	9	45	90
N30	3	0	5	25	65
N31	7	0	6	30	75
N33	9	0	6	20	65
N36	2	0	6	45	90
N58	8	0	16	45	90
N38	4	0	6	45	90

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	1	2	4	5	4	4	4	25	70
E2	1	18	6	9	6	6	6	20	75
E3	8	9	6	7	6	6	6	30	75
E4	9	23	8	1	8	8	8	30	75
E5	10	11	5	6	5	5	5	25	65
E6	12	32	8	4	8	8	8	25	65
E7	14	33	6	2	6	6	6	45	90
E8	16	17	7	7	7	7	7	20	75
E9	16	18	5	1	5	5	5	25	65
E10	20	21	6	2	6	6	6	25	65
E11	25	26	5	1	5	5	5	25	65
E12	26	27	4	9	4	4	4	20	65
E13	27	30	5	2	5	5	5	45	90
E14	34	35	8	3	8	8	8	45	90
E15	38	54	7	6	7	7	7	25	75
E16	40	53	9	2	9	9	9	20	65
E17	41	42	6	7	6	6	6	45	90
E18	42	43	7	3	7	7	7	45	90
E19	43	44	4	8	4	4	4	45	90
E20	44	45	8	9	8	8	8	20	75
E21	48	49	5	1	5	5	5	45	90
E22	50	51	6	7	6	6	6	30	75
E23	52	56	9	2	9	9	9	20	65
E24	53	60	10	1	10	10	10	45	90
E25	56	60	9	6	9	9	9	45	90
E26	57	59	7	8	7	7	7	45	90
E27	58	60	8	5	8	8	8	30	75

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	3	8	6	6
NrE2	4	5	4	4
NrE3	5	6	5	5
NrE4	6	34	8	8
NrE5	9	10	6	6
NrE6	10	26	6	6
NrE7	15	34	8	8
NrE8	18	19	8	8
NrE9	18	42	7	7
NrE10	23	24	6	6
NrE11	27	29	9	9
NrE12	28	29	5	5
NrE13	30	32	5	5
NrE14	30	31	6	6
NrE15	35	36	6	6
NrE16	37	58	16	16
NrE17	38	39	6	6
NrE18	42	51	6	6
NrE19	49	50	6	6
NrE20	59	60	8	8

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	16	1	5	7	5	5	5	30	75
A2	2	9	6	3	6	6	6	15	60
A3	20	2	7	7	7	7	7	20	75
A4	5	3	6	3	6	6	6	35	80
A5	4	35	6	1	6	6	6	25	65
A6	7	5	6	8	6	6	6	30	75
A7	7	8	5	4	5	5	5	15	60
A8	12	7	6	5	6	6	6	30	75
A9	9	21	7	3	7	7	7	45	90
A10	27	11	8	1	8	8	8	30	75
A11	13	33	9	7	9	9	9	45	90
A12	15	14	10	8	10	10	10	45	90
A13	16	41	7	6	7	7	7	20	65
A14	17	40	7	5	7	7	7	30	75
A15	19	43	6	9	6	6	6	30	75
A16	19	44	5	7	5	5	5	45	90
A17	22	23	5	6	5	5	5	45	90
A18	23	25	6	8	6	6	6	45	90
A19	25	28	7	8	7	7	7	30	75
A20	37	36	7	9	7	7	7	30	75
A21	36	38	6	6	6	6	6	20	65
A22	40	41	5	1	5	5	5	30	75
A23	45	46	7	6	7	7	7	30	75
A24	47	45	8	5	8	8	8	30	75
A25	49	55	8	4	8	8	8	20	65
A26	53	52	6	6	6	6	6	45	90
A27	55	56	8	9	8	8	8	30	75
A28	57	58	9	6	9	9	9	20	75

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	3	2	5	5
NrA2	17	4	5	5
NrA3	10	8	8	8
NrA4	11	12	5	5
NrA5	12	13	6	6
NrA6	17	35	8	8
NrA7	17	39	8	8
NrA8	19	20	8	8
NrA9	21	22	7	7
NrA10	33	32	6	6
NrA11	39	40	5	5
NrA12	45	50	6	6
NrA13	46	47	4	4
NrA14	51	52	7	7
NrA15	54	53	7	7
