Name:		TWe10
Optimal value:	-1
#Vehicles:	-1
Capacity:	280
Depot Node:	1
#Nodes:	77
#Edges:	61
#Arcs:	37
#Required N:	32
#Required E:	36
#Required A:	30

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N2	17	0	17	1455	1456
N5	8	0	8	1138	1143
N10	20	0	20	1317	1324
N11	12	0	12	1070	1076
N12	32	0	32	1008	1010
N16	13	0	13	1078	1082
N17	26	0	26	1306	1308
N20	32	0	32	1146	1153
N22	24	0	24	1403	1412
N25	16	0	16	1096	1102
N29	27	0	27	1133	1138
N30	14	0	14	1187	1194
N32	30	0	30	1218	1227
N34	43	0	43	1465	1472
N37	8	0	8	1220	1228
N41	15	0	15	1478	1483
N40	9	0	9	1328	1336
N44	12	0	12	1241	1243
N48	79	0	79	1393	1396
N49	9	0	9	1223	1225
N50	8	0	8	1093	1095
N52	2	0	2	1084	1093
N53	4	0	4	1051	1052
N54	4	0	4	1492	1501
N57	14	0	14	1076	1083
N60	23	0	23	1398	1405
N62	16	0	16	1260	1260
N59	11	0	11	1286	1293
N72	6	0	6	1444	1445
N71	5	0	5	1498	1498
N73	25	0	25	1002	1011
N76	7	0	7	1179	1184

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	1	2	32	32	32	32	32	1420	1423
E2	2	3	14	14	14	14	14	1391	1398
E3	4	5	56	56	56	56	56	1167	1174
E4	12	16	29	29	29	29	29	1068	1076
E5	13	14	7	7	7	7	7	1064	1065
E6	14	15	7	7	7	7	7	1499	1501
E7	15	18	38	38	38	38	38	1318	1323
E8	18	19	41	41	41	41	41	1246	1255
E9	18	20	21	21	21	21	21	1263	1270
E10	24	25	27	27	27	27	27	1262	1262
E11	25	26	17	17	17	17	17	1445	1448
E12	23	26	12	12	12	12	12	1032	1032
E13	26	27	15	15	15	15	15	1228	1228
E14	32	35	86	86	86	86	86	1142	1149
E15	33	36	27	27	27	27	27	1319	1322
E16	33	37	75	75	75	75	75	1343	1344
E17	37	39	21	21	21	21	21	1414	1417
E18	39	40	5	5	5	5	5	1114	1122
E19	41	42	18	18	18	18	18	1219	1228
E20	42	43	11	11	11	11	11	1199	1207
E21	43	44	78	78	78	78	78	1342	1351
E22	46	47	33	33	33	33	33	1320	1324
E23	49	51	10	10	10	10	10	1278	1282
E24	24	53	24	24	24	24	24	1342	1345
E25	55	56	6	6	6	6	6	1147	1149
E26	11	59	78	78	78	78	78	1037	1046
E27	60	61	39	39	39	39	39	1088	1090
E28	62	63	30	30	30	30	30	1328	1337
E29	63	64	9	9	9	9	9	1319	1326
E30	63	65	21	21	21	21	21	1046	1047
E31	66	68	45	45	45	45	45	1034	1036
E32	70	71	56	56	56	56	56	1499	1501
E33	72	73	5	5	5	5	5	1435	1435
E34	18	72	92	92	92	92	92	1296	1297
E35	20	76	8	8	8	8	8	1289	1293
E36	44	59	28	28	28	28	28	1288	1296

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	2	4	17	17
NrE2	5	6	8	8
NrE3	10	11	12	12
NrE4	11	12	32	32
NrE5	13	16	13	13
NrE6	15	17	26	26
NrE7	19	20	32	32
NrE8	22	75	24	24
NrE9	25	29	27	27
NrE10	30	31	14	14
NrE11	32	33	30	30
NrE12	32	34	43	43
NrE13	37	38	8	8
NrE14	35	41	15	15
NrE15	40	41	9	9
NrE16	44	45	12	12
NrE17	11	48	79	79
NrE18	47	49	9	9
NrE19	49	50	8	8
NrE20	50	52	2	2
NrE21	52	54	4	4
NrE22	60	62	23	23
NrE23	62	66	16	16
NrE24	73	74	25	25
NrE25	12	76	7	7

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	7	5	6	6	6	6	6	1238	1244
A2	8	7	18	18	18	18	18	1182	1187
A3	9	8	26	26	26	26	26	1476	1485
A4	77	13	12	12	12	12	12	1256	1264
A5	19	21	38	38	38	38	38	1200	1208
A6	21	22	17	17	17	17	17	1141	1144
A7	22	24	4	4	4	4	4	1034	1043
A8	26	28	18	18	18	18	18	1119	1128
A9	28	29	16	16	16	16	16	1451	1459
A10	23	31	40	40	40	40	40	1256	1262
A11	31	32	58	58	58	58	58	1265	1265
A12	35	39	7	7	7	7	7	1175	1181
A13	46	45	12	12	12	12	12	1475	1484
A14	44	46	13	13	13	13	13	1073	1081
A15	47	48	10	10	10	10	10	1309	1311
A16	53	52	4	4	4	4	4	1247	1254
A17	50	19	30	30	30	30	30	1374	1377
A18	56	42	26	26	26	26	26	1292	1294
A19	57	58	78	78	78	78	78	1062	1069
A20	58	59	25	25	25	25	25	1082	1089
A21	58	60	33	33	33	33	33	1026	1031
A22	58	69	32	32	32	32	32	1230	1238
A23	4	69	75	75	75	75	75	1025	1026
A24	67	56	36	36	36	36	36	1081	1084
A25	75	23	17	17	17	17	17	1456	1464
A26	15	77	13	13	13	13	13	1343	1343
A27	77	76	35	35	35	35	35	1265	1272
A28	21	51	2	2	2	2	2	1152	1161
A29	60	67	29	29	29	29	29	1373	1379
A30	62	67	31	31	31	31	31	1017	1024

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	10	9	20	20
NrA2	75	25	16	16
NrA3	53	51	4	4
NrA4	42	57	14	14
NrA5	69	59	11	11
NrA6	72	71	6	6
NrA7	71	73	5	5
