Name:		TWe12
Optimal value:	-1
#Vehicles:	-1
Capacity:	130
Depot Node:	1
#Nodes:	77
#Edges:	66
#Arcs:	32
#Required N:	27
#Required E:	41
#Required A:	19

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N3	14	0	14	1391	1414
N7	6	0	6	1238	1256
N8	18	0	18	1182	1197
N9	26	0	26	1476	1503
N10	20	0	20	1317	1338
N14	7	0	7	1078	1090
N18	38	0	38	1256	1281
N22	4	0	4	1141	1151
N75	16	0	16	1034	1062
N36	27	0	27	1465	1486
N39	5	0	5	1220	1246
N45	12	0	12	1328	1353
N46	13	0	13	1219	1246
N52	2	0	2	1320	1332
N54	4	0	4	1223	1229
N53	24	0	24	1093	1101
N42	14	0	14	1051	1054
N59	25	0	25	1492	1520
N61	39	0	39	1147	1153
N62	23	0	23	1292	1299
N4	75	0	75	1328	1357
N72	6	0	6	1046	1050
N73	5	0	5	1260	1262
N23	17	0	17	1025	1029
N76	8	0	8	1499	1505
N21	2	0	2	1435	1437
N44	28	0	28	1002	1029

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	1	2	32	32	32	32	32	1420	1431
E2	2	4	17	17	17	17	17	1455	1460
E3	5	6	8	8	8	8	8	1138	1154
E4	11	12	32	32	32	32	32	1070	1088
E5	13	16	13	13	13	13	13	1068	1092
E6	15	17	26	26	26	26	26	1499	1505
E7	18	20	21	21	21	21	21	1246	1275
E8	19	21	38	38	38	38	38	1146	1169
E9	22	75	24	24	24	24	24	1200	1226
E10	24	25	27	27	27	27	27	1403	1430
E11	25	26	17	17	17	17	17	1262	1264
E12	26	27	15	15	15	15	15	1445	1455
E13	26	28	18	18	18	18	18	1032	1032
E14	28	29	16	16	16	16	16	1228	1229
E15	30	31	14	14	14	14	14	1451	1476
E16	23	31	40	40	40	40	40	1133	1149
E17	31	32	58	58	58	58	58	1187	1209
E18	32	33	30	30	30	30	30	1256	1276
E19	32	34	43	43	43	43	43	1265	1266
E20	32	35	86	86	86	86	86	1218	1245
E21	37	38	8	8	8	8	8	1319	1329
E22	35	39	7	7	7	7	7	1414	1423
E23	35	41	15	15	15	15	15	1114	1140
E24	49	50	8	8	8	8	8	1475	1502
E25	51	53	4	4	4	4	4	1309	1317
E26	19	50	30	30	30	30	30	1278	1290
E27	55	56	6	6	6	6	6	1084	1111
E28	11	59	78	78	78	78	78	1342	1353
E29	58	60	33	33	33	33	33	1374	1385
E30	62	63	30	30	30	30	30	1076	1097
E31	63	64	9	9	9	9	9	1062	1085
E32	63	65	21	21	21	21	21	1082	1104
E33	62	66	16	16	16	16	16	1037	1065
E34	66	68	45	45	45	45	45	1026	1041
E35	58	69	32	32	32	32	32	1088	1095
E36	70	71	56	56	56	56	56	1319	1341
E37	72	73	5	5	5	5	5	1034	1040
E38	73	74	25	25	25	25	25	1230	1254
E39	18	72	92	92	92	92	92	1286	1308
E40	15	77	13	13	13	13	13	1444	1447
E41	76	77	35	35	35	35	35	1498	1499

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	2	3	14	14
NrE2	5	7	6	6
NrE3	7	8	18	18
NrE4	8	9	26	26
NrE5	9	10	20	20
NrE6	13	14	7	7
NrE7	15	18	38	38
NrE8	22	24	4	4
NrE9	33	36	27	27
NrE10	39	40	5	5
NrE11	45	46	12	12
NrE12	50	52	2	2
NrE13	52	54	4	4
NrE14	24	53	24	24
NrE15	58	59	25	25
NrE16	60	61	39	39
NrE17	60	62	23	23
NrE18	4	69	75	75
NrE19	20	76	8	8
NrE20	21	51	2	2
NrE21	10	11	12	12
NrE22	14	15	7	7
NrE23	41	42	18	18
NrE24	56	67	36	36
NrE25	12	76	7	7

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	5	4	56	56	56	56	56	1167	1190
A2	16	12	29	29	29	29	29	1008	1015
A3	77	13	12	12	12	12	12	1064	1067
A4	18	19	41	41	41	41	41	1306	1314
A5	20	19	32	32	32	32	32	1318	1333
A6	21	22	17	17	17	17	17	1263	1286
A7	23	26	12	12	12	12	12	1096	1115
A8	25	29	27	27	27	27	27	1119	1148
A9	37	33	75	75	75	75	75	1142	1164
A10	39	37	21	21	21	21	21	1343	1347
A11	43	44	78	78	78	78	78	1175	1195
A12	45	44	12	12	12	12	12	1478	1495
A13	47	46	33	33	33	33	33	1199	1223
A14	48	47	10	10	10	10	10	1342	1369
A15	49	47	9	9	9	9	9	1241	1247
A16	51	49	10	10	10	10	10	1073	1099
A17	53	52	4	4	4	4	4	1393	1402
A18	57	58	78	78	78	78	78	1247	1269
A19	69	59	11	11	11	11	11	1398	1419

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	25	75	16	16
NrA2	44	46	13	13
NrA3	42	57	14	14
NrA4	72	71	6	6
NrA5	71	73	5	5
NrA6	75	23	17	17
NrA7	44	59	28	28
NrA8	41	40	9	9
NrA9	42	43	11	11
NrA10	11	48	79	79
NrA11	42	56	26	26
NrA12	67	60	29	29
NrA13	62	67	31	31
