Name:		TWe3
Optimal value:	-1
#Vehicles:	-1
Capacity:	160
Depot Node:	1
#Nodes:	77
#Edges:	55
#Arcs:	43
#Required N:	15
#Required E:	20
#Required A:	16

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N2	17	0	17	1858	1863
N16	29	0	29	983	998
N18	41	0	41	619	643
N21	17	0	17	1998	2004
N22	24	0	24	1220	1245
N23	40	0	40	1380	1388
N32	58	0	58	1420	1435
N33	30	0	30	1189	1218
N34	43	0	43	868	891
N60	33	0	33	1889	1910
N63	30	0	30	1500	1504
N66	16	0	16	1726	1735
N69	32	0	32	960	980
N75	17	0	17	1103	1130
N76	8	0	8	1037	1061

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	1	2	32	32	32	32	32	1744	1755
E2	2	3	14	14	14	14	14	1652	1675
E3	4	5	56	56	56	56	56	936	959
E4	13	14	7	7	7	7	7	1417	1438
E5	15	17	26	26	26	26	26	626	644
E6	15	18	38	38	38	38	38	426	433
E7	19	20	32	32	32	32	32	650	662
E8	19	21	38	38	38	38	38	607	610
E9	44	45	12	12	12	12	12	1692	1719
E10	47	48	10	10	10	10	10	707	726
E11	47	49	9	9	9	9	9	1824	1834
E12	52	54	4	4	4	4	4	1843	1868
E13	55	56	6	6	6	6	6	826	842
E14	57	58	78	78	78	78	78	1220	1240
E15	11	59	78	78	78	78	78	1100	1127
E16	60	61	39	39	39	39	39	854	876
E17	63	65	21	21	21	21	21	1104	1130
E18	66	68	45	45	45	45	45	766	792
E19	59	69	11	11	11	11	11	1930	1947
E20	4	69	75	75	75	75	75	1451	1476

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	2	4	17	17
NrE2	12	16	29	29
NrE3	22	75	24	24
NrE4	31	32	58	58
NrE5	32	34	43	43
NrE6	58	60	33	33
NrE7	62	63	30	30
NrE8	62	66	16	16
NrE9	58	69	32	32
NrE10	23	75	17	17
NrE11	5	6	8	8
NrE12	8	9	26	26
NrE13	14	15	7	7
NrE14	22	24	4	4
NrE15	26	27	15	15
NrE16	26	28	18	18
NrE17	25	29	27	27
NrE18	30	31	14	14
NrE19	33	36	27	27
NrE20	37	38	8	8
NrE21	37	39	21	21
NrE22	35	39	7	7
NrE23	40	41	9	9
NrE24	41	42	18	18
NrE25	52	53	4	4
NrE26	24	53	24	24
NrE27	19	50	30	30
NrE28	42	56	26	26
NrE29	63	64	9	9
NrE30	70	71	56	56
NrE31	71	72	6	6
NrE32	73	74	25	25
NrE33	18	72	92	92
NrE34	56	67	36	36
NrE35	12	76	7	7

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	10	9	20	20	20	20	20	844	860
A2	11	12	32	32	32	32	32	1163	1181
A3	13	16	13	13	13	13	13	1923	1950
A4	35	32	86	86	86	86	86	1242	1265
A5	35	41	15	15	15	15	15	1040	1066
A6	44	43	78	78	78	78	78	853	863
A7	46	44	13	13	13	13	13	511	539
A8	47	46	33	33	33	33	33	1241	1243
A9	50	49	8	8	8	8	8	502	502
A10	51	49	10	10	10	10	10	1132	1133
A11	52	50	2	2	2	2	2	781	810
A12	57	42	14	14	14	14	14	1000	1022
A13	58	59	25	25	25	25	25	1250	1251
A14	60	62	23	23	23	23	23	1423	1433
A15	21	51	2	2	2	2	2	1494	1521
A16	59	44	28	28	28	28	28	1171	1177

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	19	18	41	41
NrA2	21	22	17	17
NrA3	23	31	40	40
NrA4	32	33	30	30
NrA5	76	20	8	8
NrA6	7	5	6	6
NrA7	8	7	18	18
NrA8	11	10	12	12
NrA9	13	77	12	12
NrA10	18	20	21	21
NrA11	25	24	27	27
NrA12	75	25	16	16
NrA13	25	26	17	17
NrA14	26	23	12	12
NrA15	28	29	16	16
NrA16	33	37	75	75
NrA17	40	39	5	5
NrA18	43	42	11	11
NrA19	45	46	12	12
NrA20	11	48	79	79
NrA21	53	51	4	4
NrA22	71	73	5	5
NrA23	73	72	5	5
NrA24	77	15	13	13
NrA25	76	77	35	35
NrA26	67	60	29	29
NrA27	62	67	31	31
