Name:		TWe7
Optimal value:	-1
#Vehicles:	-1
Capacity:	280
Depot Node:	1
#Nodes:	77
#Edges:	67
#Arcs:	31
#Required N:	16
#Required E:	46
#Required A:	25

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N4	56	0	56	1167	1190
N13	7	0	7	1078	1090
N19	41	0	41	1306	1314
N21	38	0	38	1146	1169
N25	27	0	27	1403	1430
N32	58	0	58	1187	1209
N35	7	0	7	1414	1423
N43	78	0	78	1175	1195
N44	13	0	13	1219	1246
N52	4	0	4	1223	1229
N56	6	0	6	1084	1111
N62	23	0	23	1292	1299
N63	21	0	21	1082	1104
N58	32	0	32	1088	1095
N70	56	0	56	1319	1341
N20	8	0	8	1499	1505

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	1	2	32	32	32	32	32	1420	1431
E2	2	3	14	14	14	14	14	1391	1414
E3	2	4	17	17	17	17	17	1455	1460
E4	5	6	8	8	8	8	8	1138	1154
E5	7	8	18	18	18	18	18	1182	1197
E6	11	12	32	32	32	32	32	1070	1088
E7	13	16	13	13	13	13	13	1068	1092
E8	15	17	26	26	26	26	26	1499	1505
E9	19	20	32	32	32	32	32	1318	1333
E10	21	22	17	17	17	17	17	1263	1286
E11	22	75	24	24	24	24	24	1200	1226
E12	22	24	4	4	4	4	4	1141	1151
E13	25	75	16	16	16	16	16	1034	1062
E14	26	27	15	15	15	15	15	1445	1455
E15	26	28	18	18	18	18	18	1032	1032
E16	25	29	27	27	27	27	27	1119	1148
E17	30	31	14	14	14	14	14	1451	1476
E18	23	31	40	40	40	40	40	1133	1149
E19	32	33	30	30	30	30	30	1256	1276
E20	32	34	43	43	43	43	43	1265	1266
E21	32	35	86	86	86	86	86	1218	1245
E22	33	36	27	27	27	27	27	1465	1486
E23	37	38	8	8	8	8	8	1319	1329
E24	37	39	21	21	21	21	21	1343	1347
E25	44	45	12	12	12	12	12	1478	1495
E26	45	46	12	12	12	12	12	1328	1353
E27	47	49	9	9	9	9	9	1241	1247
E28	51	53	4	4	4	4	4	1309	1317
E29	52	53	4	4	4	4	4	1393	1402
E30	24	53	24	24	24	24	24	1093	1101
E31	19	50	30	30	30	30	30	1278	1290
E32	60	61	39	39	39	39	39	1147	1153
E33	62	63	30	30	30	30	30	1076	1097
E34	63	64	9	9	9	9	9	1062	1085
E35	62	66	16	16	16	16	16	1037	1065
E36	66	68	45	45	45	45	45	1026	1041
E37	4	69	75	75	75	75	75	1328	1357
E38	71	73	5	5	5	5	5	1260	1262
E39	72	73	5	5	5	5	5	1034	1040
E40	73	74	25	25	25	25	25	1230	1254
E41	18	72	92	92	92	92	92	1286	1308
E42	23	75	17	17	17	17	17	1025	1029
E43	15	77	13	13	13	13	13	1444	1447
E44	76	77	35	35	35	35	35	1498	1499
E45	21	51	2	2	2	2	2	1435	1437
E46	44	59	28	28	28	28	28	1002	1029

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	13	14	7	7
NrE2	24	25	27	27
NrE3	35	39	7	7
NrE4	43	44	78	78
NrE5	44	46	13	13
NrE6	52	54	4	4
NrE7	55	56	6	6
NrE8	60	62	23	23
NrE9	63	65	21	21
NrE10	58	69	32	32
NrE11	70	71	56	56
NrE12	14	15	7	7
NrE13	40	41	9	9
NrE14	41	42	18	18
NrE15	42	43	11	11
NrE16	11	48	79	79
NrE17	42	56	26	26
NrE18	56	67	36	36
NrE19	12	76	7	7
NrE20	60	67	29	29
NrE21	62	67	31	31

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	5	7	6	6	6	6	6	1238	1256
A2	8	9	26	26	26	26	26	1476	1503
A3	9	10	20	20	20	20	20	1317	1338
A4	16	12	29	29	29	29	29	1008	1015
A5	77	13	12	12	12	12	12	1064	1067
A6	15	18	38	38	38	38	38	1256	1281
A7	20	18	21	21	21	21	21	1246	1275
A8	25	26	17	17	17	17	17	1262	1264
A9	26	23	12	12	12	12	12	1096	1115
A10	28	29	16	16	16	16	16	1228	1229
A11	37	33	75	75	75	75	75	1142	1164
A12	39	40	5	5	5	5	5	1220	1246
A13	35	41	15	15	15	15	15	1114	1140
A14	46	47	33	33	33	33	33	1199	1223
A15	48	47	10	10	10	10	10	1342	1369
A16	50	49	8	8	8	8	8	1475	1502
A17	49	51	10	10	10	10	10	1073	1099
A18	50	52	2	2	2	2	2	1320	1332
A19	57	42	14	14	14	14	14	1051	1054
A20	58	57	78	78	78	78	78	1247	1269
A21	58	59	25	25	25	25	25	1492	1520
A22	59	11	78	78	78	78	78	1342	1353
A23	60	58	33	33	33	33	33	1374	1385
A24	69	59	11	11	11	11	11	1398	1419
A25	71	72	6	6	6	6	6	1046	1050

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	4	5	56	56
NrA2	18	19	41	41
NrA3	19	21	38	38
NrA4	31	32	58	58
NrA5	20	76	8	8
NrA6	10	11	12	12
