Name:		TWe8
Optimal value:	-1
#Vehicles:	-1
Capacity:	190
Depot Node:	1
#Nodes:	77
#Edges:	55
#Arcs:	43
#Required N:	24
#Required E:	36
#Required A:	27

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N5	56	0	56	1167	1190
N12	32	0	32	1070	1088
N18	38	0	38	1256	1281
N19	41	0	41	1306	1314
N21	38	0	38	1146	1169
N22	17	0	17	1263	1286
N75	24	0	24	1200	1226
N26	12	0	12	1096	1115
N28	16	0	16	1228	1229
N31	14	0	14	1451	1476
N23	40	0	40	1133	1149
N37	75	0	75	1142	1164
N35	7	0	7	1414	1423
N47	33	0	33	1199	1223
N48	10	0	10	1342	1369
N49	9	0	9	1241	1247
N51	10	0	10	1073	1099
N53	4	0	4	1309	1317
N24	24	0	24	1093	1101
N57	14	0	14	1051	1054
N59	78	0	78	1342	1353
N62	16	0	16	1037	1065
N73	5	0	5	1260	1262
N72	5	0	5	1034	1040

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	1	2	32	32	32	32	32	1420	1431
E2	2	3	14	14	14	14	14	1391	1414
E3	2	4	17	17	17	17	17	1455	1460
E4	5	6	8	8	8	8	8	1138	1154
E5	7	8	18	18	18	18	18	1182	1197
E6	8	9	26	26	26	26	26	1476	1503
E7	15	17	26	26	26	26	26	1499	1505
E8	19	20	32	32	32	32	32	1318	1333
E9	25	75	16	16	16	16	16	1034	1062
E10	25	26	17	17	17	17	17	1262	1264
E11	26	27	15	15	15	15	15	1445	1455
E12	26	28	18	18	18	18	18	1032	1032
E13	25	29	27	27	27	27	27	1119	1148
E14	32	34	43	43	43	43	43	1265	1266
E15	33	36	27	27	27	27	27	1465	1486
E16	37	38	8	8	8	8	8	1319	1329
E17	37	39	21	21	21	21	21	1343	1347
E18	35	41	15	15	15	15	15	1114	1140
E19	44	45	12	12	12	12	12	1478	1495
E20	44	46	13	13	13	13	13	1219	1246
E21	52	54	4	4	4	4	4	1223	1229
E22	19	50	30	30	30	30	30	1278	1290
E23	55	56	6	6	6	6	6	1084	1111
E24	60	61	39	39	39	39	39	1147	1153
E25	62	63	30	30	30	30	30	1076	1097
E26	63	64	9	9	9	9	9	1062	1085
E27	63	65	21	21	21	21	21	1082	1104
E28	66	68	45	45	45	45	45	1026	1041
E29	59	69	11	11	11	11	11	1398	1419
E30	4	69	75	75	75	75	75	1328	1357
E31	70	71	56	56	56	56	56	1319	1341
E32	71	72	6	6	6	6	6	1046	1050
E33	73	74	25	25	25	25	25	1230	1254
E34	18	72	92	92	92	92	92	1286	1308
E35	15	77	13	13	13	13	13	1444	1447
E36	21	51	2	2	2	2	2	1435	1437

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	11	12	32	32
NrE2	18	19	41	41
NrE3	21	22	17	17
NrE4	22	75	24	24
NrE5	28	29	16	16
NrE6	30	31	14	14
NrE7	33	37	75	75
NrE8	35	39	7	7
NrE9	47	48	10	10
NrE10	49	51	10	10
NrE11	51	53	4	4
NrE12	62	66	16	16
NrE13	72	73	5	5
NrE14	10	11	12	12
NrE15	40	41	9	9
NrE16	41	42	18	18
NrE17	11	48	79	79
NrE18	12	76	7	7
NrE19	62	67	31	31

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	7	5	6	6	6	6	6	1238	1256
A2	10	9	20	20	20	20	20	1317	1338
A3	16	12	29	29	29	29	29	1008	1015
A4	13	16	13	13	13	13	13	1068	1092
A5	14	13	7	7	7	7	7	1078	1090
A6	13	77	12	12	12	12	12	1064	1067
A7	18	20	21	21	21	21	21	1246	1275
A8	24	22	4	4	4	4	4	1141	1151
A9	25	24	27	27	27	27	27	1403	1430
A10	32	31	58	58	58	58	58	1187	1209
A11	32	33	30	30	30	30	30	1256	1276
A12	35	32	86	86	86	86	86	1218	1245
A13	39	40	5	5	5	5	5	1220	1246
A14	44	43	78	78	78	78	78	1175	1195
A15	46	45	12	12	12	12	12	1328	1353
A16	50	49	8	8	8	8	8	1475	1502
A17	52	50	2	2	2	2	2	1320	1332
A18	53	52	4	4	4	4	4	1393	1402
A19	57	58	78	78	78	78	78	1247	1269
A20	59	58	25	25	25	25	25	1492	1520
A21	58	60	33	33	33	33	33	1374	1385
A22	60	62	23	23	23	23	23	1292	1299
A23	69	58	32	32	32	32	32	1088	1095
A24	23	75	17	17	17	17	17	1025	1029
A25	20	76	8	8	8	8	8	1499	1505
A26	76	77	35	35	35	35	35	1498	1499
A27	59	44	28	28	28	28	28	1002	1029

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	5	4	56	56
NrA2	15	18	38	38
NrA3	19	21	38	38
NrA4	26	23	12	12
NrA5	31	23	40	40
NrA6	46	47	33	33
NrA7	49	47	9	9
NrA8	53	24	24	24
NrA9	42	57	14	14
NrA10	11	59	78	78
NrA11	71	73	5	5
NrA12	15	14	7	7
NrA13	43	42	11	11
NrA14	56	42	26	26
NrA15	67	56	36	36
NrA16	67	60	29	29
