Name:		TWs8
Optimal value:	-1
#Vehicles:	-1
Capacity:	120
Depot Node:	1
#Nodes:	140
#Edges:	102
#Arcs:	88
#Required N:	55
#Required E:	72
#Required A:	63

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N82	26	0	52	1168	1176
N93	28	0	56	1172	1177
N94	17	0	34	1337	1341
N96	8	0	16	1356	1357
N99	33	0	66	1304	1310
N100	17	0	34	1365	1368
N101	28	0	56	1460	1466
N91	27	0	54	1130	1138
N102	21	0	42	1343	1343
N106	38	0	76	1164	1165
N109	103	0	206	1492	1492
N110	8	0	16	1413	1416
N107	13	0	26	1382	1388
N117	19	0	38	1454	1462
N2	16	0	32	1081	1083
N122	8	0	16	1089	1091
N123	15	0	30	1069	1072
N4	67	0	134	1248	1251
N128	41	0	82	1053	1059
N129	11	0	22	1165	1165
N130	35	0	70	1213	1222
N136	31	0	62	1414	1417
N131	47	0	94	1492	1495
N27	50	0	100	1146	1147
N11	48	0	96	1238	1244
N12	12	0	24	1476	1485
N15	13	0	26	1068	1076
N13	12	0	24	1064	1065
N18	8	0	16	1499	1501
N22	10	0	20	1146	1153
N21	55	0	110	1263	1270
N26	48	0	96	1034	1043
N30	5	0	10	1228	1228
N31	41	0	82	1119	1128
N139	49	0	98	1265	1265
N35	59	0	118	1218	1227
N45	14	0	28	1241	1243
N51	30	0	60	1084	1093
N53	24	0	48	1492	1501
N54	10	0	20	1374	1377
N56	49	0	98	1292	1294
N58	40	0	80	1062	1069
N59	18	0	36	1082	1089
N57	14	0	28	1328	1337
N69	6	0	12	1435	1435
N71	9	0	18	1002	1011
N72	18	0	36	1296	1297
N74	5	0	10	1456	1464
N75	47	0	94	1343	1343
N77	10	0	20	1152	1161
N79	9	0	18	1436	1444
N80	10	0	20	1489	1496
N84	10	0	20	1314	1316
N68	67	0	134	1359	1360
N66	69	0	138	1235	1240

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	5	6	26	26	26	26	52	1420	1423
E2	6	7	21	21	21	21	42	1391	1398
E3	6	8	10	10	10	10	20	1455	1456
E4	9	10	12	12	12	12	24	1138	1143
E5	13	14	18	18	18	18	36	1317	1324
E6	10	15	13	13	13	13	26	1070	1076
E7	18	19	6	6	6	6	12	1256	1264
E8	12	20	34	34	34	34	68	1318	1323
E9	20	21	58	58	58	58	116	1246	1255
E10	20	24	33	33	33	33	66	1200	1208
E11	25	27	19	19	19	19	38	1096	1102
E12	26	31	12	12	12	12	24	1451	1459
E13	30	32	28	28	28	28	56	1133	1138
E14	29	33	52	52	52	52	104	1187	1194
E15	36	37	20	20	20	20	40	1319	1322
E16	36	38	25	25	25	25	50	1343	1344
E17	38	39	6	6	6	6	12	1220	1228
E18	39	40	18	18	18	18	36	1414	1417
E19	40	41	12	12	12	12	24	1114	1122
E20	42	43	5	5	5	5	10	1219	1228
E21	46	47	7	7	7	7	14	1320	1324
E22	43	46	5	5	5	5	10	1309	1311
E23	33	139	13	13	13	13	26	1393	1396
E24	48	139	49	49	49	49	98	1223	1225
E25	48	49	10	10	10	10	20	1093	1095
E26	52	53	12	12	12	12	24	1247	1254
E27	45	60	15	15	15	15	30	1037	1046
E28	49	61	13	13	13	13	26	1398	1405
E29	62	63	7	7	7	7	14	1319	1326
E30	63	64	9	9	9	9	18	1046	1047
E31	67	69	4	4	4	4	8	1499	1501
E32	69	70	8	8	8	8	16	1444	1445
E33	70	71	9	9	9	9	18	1498	1498
E34	71	75	36	36	36	36	72	1289	1293
E35	77	78	15	15	15	15	30	1373	1379
E36	80	82	16	16	16	16	32	1451	1460
E37	82	84	13	13	13	13	26	1444	1444
E38	83	84	18	18	18	18	36	1324	1326
E39	85	86	20	20	20	20	40	1350	1353
E40	88	90	12	12	12	12	24	1255	1264
E41	89	92	10	10	10	10	20	1472	1476
E42	84	92	29	29	29	29	58	1217	1217
E43	63	93	25	25	25	25	50	1416	1418
E44	94	95	49	49	49	49	98	1240	1243
E45	97	98	3	3	3	3	6	1206	1212
E46	97	99	37	37	37	37	74	1173	1174
E47	94	101	4	4	4	4	8	1370	1372
E48	101	102	17	17	17	17	34	1326	1328
E49	102	103	42	42	42	42	84	1266	1266
E50	104	105	6	6	6	6	12	1055	1058
E51	105	106	15	15	15	15	30	1288	1293
E52	110	111	7	7	7	7	14	1094	1098
E53	110	112	13	13	13	13	26	1479	1488
