Instance Name,#Vars,#Constrs,#Node,Time,UB,LB,gap
TWA10A,1956,1979,692,0.482452154,118,118,0
TWA13A,13896,13941,139966,119.702857,224,224,0
TWA13B,11556,11598,59264,69.12033987,265,265,0
TWA13C,9432,9471,16199,10.56360602,243,243,0
TWA20B,25245,25300,2431881,Time Limit,437,399.5,0.085812357
TWA40C,265056,265178,62253,2139.659254,793,792.9999972,3.56E-09
TWA40D,294976,295103,21222,Time Limit,953,836,0.122770199
TWA60A,532918,533072,null,Infeasible,null,null,null
TWB10A,1188,1207,524,0.449253082,93,93,0
TWB13A,10824,10865,1759373,1561.548302,226,226,0
TWB13B,12312,12355,432571,2545.603834,184,184,0
TWB13C,10824,10865,59627,245.2400742,206,206,0
TWB20B,31770,31830,538517,Time Limit,369,238,0.35501355
TWB40C,242272,242390,40670,Time Limit,726,522,0.280991736
TWB40D,259264,259385,50828,Time Limit,847,557,0.342384888
TWB60A,551778,551934,null,Infeasible,null,null,null
TWC10A,1188,1207,11527,4.634433985,90,90,0
TWC13A,12312,12355,1250687,Time Limit,203,151,0.256157635
TWC13B,10116,10156,1904394,2509.592274,122,122,0
TWC13C,12312,12355,1323355,Time Limit,147,121,0.176870748
TWC20B,21690,21742,1053642,Time Limit,229,171.5,0.251091703
TWC40C,215232,215345,3607,Time Limit,841,446,0.469678954
TWC40D,434133,434278,11,Time Limit,3409,849,0.750953359
TWC60A,962523,962712,15,Time Limit,3072,582,0.810546875
TWe1,138606,138704,58845,453.2746129,9151,9151,0
TWe2,158236,158339,null,Infeasible,null,null,null
TWe3,134836,134933,173747,879.964772,9545,9545,0
TWe4,400266,400406,58798,1976.102257,14023,14023,0
TWe5,447774,447920,59625,2213.511841,13651,13651,0
TWe6,431642,431786,63934,Time Limit,13386,10694,0.201105633
TWe7,790152,790329,60138,1445.149108,25038,25038,0
TWe8,676632,676799,134265,1917.400855,22088,22086,9.05E-05
TWe9,687588,687756,211079,Time Limit,18037,15212,0.156622498
TWe10,911350,911534,98273,Time Limit,21795,16184.5,0.257421427
TWe11,1008300,1008491,60344,1688.108324,19664,19664,0
TWe12,732292,732464,67849,Time Limit,22295,13726.5,0.384323839
TWs1,493924,494075,null,Infeasible,null,null,null
TWs2,493924,494075,null,Infeasible,null,null,null
TWs3,3109998,3110276,null,Infeasible,null,null,null
TWs4,8049693,8050076,31,Time Limit,43039,28079,0.347591719
TWs5,8338437,8338824,32,Time Limit,59278,29039,0.510121799
TWs6,14264820,14265283,31,Time Limit,70765,31925,0.548858899
TWs7,12647540,12647987,31,Time Limit,80969,37265,0.539762131
TWs8,13142490,13142942,102,Time Limit,62959,49472.02857,0.214218323
