Name:		TWA20B
Optimal value:	-1
#Vehicles:	-1
Capacity:	25
Depot Node:	1
#Nodes:	20
#Edges:	13
#Arcs:	18
#Required N:	6
#Required E:	11
#Required A:	12

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N17	8	0	8	40	60
N3	6	0	14	15	27
N8	1	0	10	38	46
N9	8	0	6	44	49
N15	9	0	12	34	39
N11	8	0	10	49	57

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	15	16	8	7	8	8	16	0	50
E2	15	19	4	4	4	4	8	42	62
E3	18	19	3	8	3	3	6	39	49
E4	2	17	3	9	3	3	6	9	19
E5	1	2	4	4	4	4	8	0	24
E6	2	3	4	9	4	4	8	13	16
E7	1	20	4	5	4	4	8	13	24
E8	1	4	3	8	3	3	6	24	28
E9	13	14	3	5	3	3	6	39	57
E10	12	13	2	3	2	2	4	49	64
E11	11	12	3	2	3	3	6	39	48

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	3	6	7	7
NrE2	7	8	5	5

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	20	18	3	1	3	3	6	47	58
A2	9	1	4	5	4	4	8	37	40
A3	10	20	3	1	3	3	6	41	49
A4	5	4	2	1	2	2	4	37	46
A5	7	4	4	9	4	4	8	27	30
A6	6	5	3	5	3	3	6	64	79
A7	6	7	5	4	5	5	10	37	41
A8	11	8	4	6	4	4	8	31	35
A9	11	10	4	1	4	4	8	54	59
A10	10	9	3	5	3	3	6	49	52
A11	14	10	4	1	4	4	8	38	52
A12	14	15	3	9	3	3	6	43	57

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	16	17	4	4
NrA2	18	17	4	4
NrA3	3	1	6	6
NrA4	8	9	3	3
NrA5	15	13	6	6
NrA6	11	14	5	5
