Name:		TWA60A
Optimal value:	-1
#Vehicles:	-1
Capacity:	25
Depot Node:	1
#Nodes:	60
#Edges:	49
#Arcs:	41
#Required N:	21
#Required E:	32
#Required A:	28

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N42	6	0	6	55	70
N45	6	0	7	40	55
N47	5	0	8	40	55
N50	8	0	6	55	70
N53	6	0	6	55	70
N60	6	0	9	55	70
N57	8	0	7	55	70
N18	9	0	6	30	55
N20	7	0	7	30	55
N35	1	0	6	35	45
N17	8	0	5	40	55
N7	5	0	6	40	55
N9	7	0	6	40	55
N21	3	0	7	55	70
N11	6	0	5	35	45
N27	1	0	8	40	55
N16	7	0	7	40	55
N25	8	0	7	40	55
N29	6	0	9	55	70
N34	3	0	8	55	70
N40	2	0	9	30	45

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	1	16	5	7	5	5	5	40	55
E2	6	34	8	1	8	8	8	35	45
E3	8	10	8	8	8	8	8	35	45
E4	10	26	6	9	6	6	6	40	55
E5	12	32	8	4	8	8	8	35	45
E6	13	33	9	7	9	9	9	55	70
E7	14	15	10	8	10	10	10	55	70
E8	14	33	6	2	6	6	6	55	70
E9	16	41	7	6	7	7	7	30	45
E10	17	39	8	8	8	8	8	55	70
E11	18	42	7	7	7	7	7	30	45
E12	19	20	8	2	8	8	8	55	70
E13	19	43	6	9	6	6	6	40	55
E14	21	22	7	4	7	7	7	30	45
E15	23	24	6	7	6	6	6	40	55
E16	25	26	5	1	5	5	5	35	45
E17	26	27	4	9	4	4	4	30	45
E18	27	30	5	2	5	5	5	55	70
E19	30	32	5	3	5	5	5	35	45
E20	30	31	6	7	6	6	6	40	55
E21	35	36	6	2	6	6	6	55	70
E22	36	37	7	9	7	7	7	40	55
E23	36	38	6	6	6	6	6	30	45
E24	38	39	6	4	6	6	6	55	70
E25	40	41	5	1	5	5	5	40	55
E26	42	43	7	3	7	7	7	55	70
E27	43	44	4	8	4	4	4	55	70
E28	46	47	4	3	4	4	4	55	70
E29	48	49	5	1	5	5	5	55	70
E30	55	56	8	9	8	8	8	40	55
E31	57	58	9	6	9	9	9	30	45
E32	58	60	8	5	8	8	8	40	55

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	1	18	6	6
NrE2	7	12	6	6
NrE3	9	10	6	6
NrE4	9	21	7	7
NrE5	10	11	5	5
NrE6	15	34	8	8
NrE7	25	28	7	7
NrE8	28	29	5	5
NrE9	34	35	8	8
NrE10	39	40	5	5
NrE11	42	51	6	6
NrE12	45	47	8	8
NrE13	45	50	6	6
NrE14	52	53	6	6
NrE15	53	54	7	7
NrE16	56	60	9	9
NrE17	57	59	7	7

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	1	2	4	5	4	4	4	35	50
A2	2	9	6	3	6	6	6	25	40
A3	3	5	6	3	6	6	6	45	60
A4	3	8	6	4	6	6	6	35	45
A5	6	5	5	7	5	5	5	40	55
A6	5	7	6	8	6	6	6	40	55
A7	7	8	5	4	5	5	5	25	40
A8	23	9	8	1	8	8	8	40	55
A9	12	11	5	4	5	5	5	55	70
A10	16	18	5	1	5	5	5	35	45
A11	35	17	8	2	8	8	8	25	40
A12	17	40	7	5	7	7	7	40	55
A13	19	18	8	4	8	8	8	35	45
A14	19	44	5	7	5	5	5	55	70
A15	21	20	6	2	6	6	6	35	45
A16	22	23	5	6	5	5	5	55	70
A17	23	25	6	8	6	6	6	55	70
A18	33	32	6	9	6	6	6	30	45
A19	37	58	16	8	16	16	16	55	70
A20	54	38	7	6	7	7	7	35	45
A21	42	41	6	7	6	6	6	55	70
A22	44	45	8	9	8	8	8	30	45
A23	55	49	8	4	8	8	8	30	45
A24	50	51	6	7	6	6	6	40	55
A25	52	51	7	5	7	7	7	55	70
A26	56	52	9	2	9	9	9	30	45
A27	60	53	10	1	10	10	10	55	70
A28	60	59	8	5	8	8	8	55	70

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	2	3	5	5
NrA2	20	2	7	7
NrA3	35	4	6	6
NrA4	4	17	5	5
NrA5	4	5	4	4
NrA6	9	8	6	6
NrA7	11	27	8	8
NrA8	13	12	6	6
NrA9	16	17	7	7
NrA10	27	29	9	9
NrA11	53	40	9	9
NrA12	46	45	7	7
NrA13	49	50	6	6
