Name:		TWB40C
Optimal value:	-1
#Vehicles:	-1
Capacity:	75
Depot Node:	1
#Nodes:	40
#Edges:	35
#Arcs:	34
#Required N:	16
#Required E:	23
#Required A:	24

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N40	8	0	5	118	166
N37	5	0	4	165	186
N32	8	0	5	80	99
N13	6	0	6	146	174
N14	8	0	5	146	186
N12	8	0	3	187	207
N16	3	0	4	89	110
N11	1	0	4	101	121
N18	7	0	5	89	113
N20	7	0	6	94	106
N19	3	0	3	121	164
N10	9	0	4	106	134
N5	7	0	9	185	202
N22	3	0	5	108	130
N23	8	0	4	121	174
N24	3	0	4	137	168

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	30	31	4	2	4	8	4	97	118
E2	9	31	8	9	8	16	8	109	122
E3	9	33	6	1	6	12	6	158	178
E4	27	28	4	5	4	8	4	90	106
E5	15	28	4	4	4	8	4	106	156
E6	16	28	5	5	5	10	5	122	158
E7	2	35	6	2	6	12	6	112	144
E8	7	34	4	8	4	8	4	91	109
E9	12	13	4	1	4	8	4	157	197
E10	8	12	4	2	4	8	4	189	207
E11	11	16	5	6	5	10	5	99	190
E12	7	17	6	2	6	12	6	145	196
E13	18	20	4	3	4	8	4	89	207
E14	19	20	5	1	5	10	5	107	176
E15	4	19	8	1	8	16	8	98	134
E16	10	21	5	6	5	10	5	132	174
E17	10	22	6	4	6	12	6	164	186
E18	5	22	6	8	6	12	6	199	215
E19	5	24	5	6	5	10	5	208	219
E20	25	26	5	8	5	10	5	185	207
E21	36	37	5	5	5	10	5	187	199
E22	37	38	7	5	7	14	7	198	218
E23	2	38	7	9	7	14	7	106	207

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	29	32	5	10
NrE2	15	29	6	12
NrE3	13	32	6	12
NrE4	14	15	2	4
NrE5	1	14	5	10
NrE6	1	12	3	6
NrE7	3	18	5	10
NrE8	18	19	3	6
NrE9	8	10	4	8
NrE10	5	21	9	18
NrE11	22	24	5	10
NrE12	22	23	4	8

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	31	6	8	8	8	16	8	80	119
A2	32	33	4	7	4	8	4	110	153
A3	30	29	3	7	3	6	3	90	112
A4	6	29	5	5	5	10	5	105	156
A5	27	6	7	9	7	14	7	132	145
A6	6	15	7	3	7	14	7	186	207
A7	26	27	5	7	5	10	5	134	163
A8	16	15	4	3	4	8	4	199	215
A9	14	13	5	6	5	10	5	119	156
A10	34	13	5	1	5	10	5	178	208
A11	35	34	4	8	4	8	4	145	177
A12	3	2	14	1	14	28	14	134	156
A13	2	7	9	2	9	18	9	164	181
A14	1	13	4	9	4	8	4	89	119
A15	1	11	3	5	3	6	3	100	119
A16	23	26	5	5	5	10	5	146	166
A17	8	11	5	9	5	10	5	177	198
A18	7	8	5	7	5	10	5	129	147
A19	3	17	6	7	6	12	6	101	129
A20	20	4	5	1	5	10	5	89	118
A21	40	8	4	4	4	8	4	112	174
A22	17	40	5	7	5	10	5	118	129
A23	39	17	3	1	3	6	3	109	131
A24	38	36	5	6	5	10	5	207	232

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	35	33	5	10
NrA2	16	26	4	8
NrA3	11	23	4	8
NrA4	8	20	6	12
NrA5	4	21	5	10
NrA6	25	24	4	8
NrA7	20	40	5	10
NrA8	7	39	6	12
NrA9	33	37	4	8
NrA10	36	35	3	6
