Name:		TWB40D
Optimal value:	-1
#Vehicles:	-1
Capacity:	75
Depot Node:	1
#Nodes:	40
#Edges:	40
#Arcs:	29
#Required N:	19
#Required E:	26
#Required A:	18

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N21	7	0	27	185	202
N5	8	0	18	199	215
N24	3	0	12	137	168
N33	5	0	12	165	186
N38	6	0	15	207	232
N30	2	0	12	97	118
N27	9	0	21	132	145
N15	4	0	12	106	156
N16	5	0	15	122	158
N13	1	0	15	178	208
N2	1	0	42	134	156
N11	5	0	9	100	119
N23	1	0	12	101	121
N17	2	0	18	145	196
N20	7	0	18	94	106
N19	1	0	24	98	134
N4	1	0	15	89	118
N10	6	0	15	132	174
N22	4	0	18	164	186

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	6	31	8	8	8	16	24	80	119
E2	9	33	6	1	6	12	18	158	178
E3	32	33	4	7	4	8	12	110	153
E4	29	32	5	8	5	10	15	80	99
E5	6	29	5	5	5	10	15	105	156
E6	13	32	6	6	6	12	18	146	174
E7	27	28	4	5	4	8	12	90	106
E8	26	27	5	7	5	10	15	134	163
E9	15	16	4	3	4	8	12	199	215
E10	13	14	5	6	5	10	15	119	156
E11	1	14	5	8	5	10	15	146	186
E12	7	34	4	8	4	8	12	91	109
E13	1	13	4	9	4	8	12	89	119
E14	12	13	4	1	4	8	12	157	197
E15	8	12	4	2	4	8	12	189	207
E16	16	26	4	3	4	8	12	89	110
E17	23	26	5	5	5	10	15	146	166
E18	8	11	5	9	5	10	15	177	198
E19	18	19	3	3	3	6	9	121	164
E20	19	20	5	1	5	10	15	107	176
E21	22	24	5	3	5	10	15	108	130
E22	25	26	5	8	5	10	15	185	207
E23	20	40	5	8	5	10	15	118	166
E24	17	40	5	7	5	10	15	118	129
E25	37	38	7	5	7	14	21	198	218
E26	2	38	7	9	7	14	21	106	207

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	30	31	4	8
NrE2	33	35	5	10
NrE3	16	28	5	10
NrE4	14	15	2	4
NrE5	11	23	4	8
NrE6	4	19	8	16
NrE7	4	21	5	10
NrE8	10	21	5	10
NrE9	10	22	6	12
NrE10	5	21	9	18
NrE11	24	25	4	8
NrE12	7	39	6	12
NrE13	33	37	4	8
NrE14	36	38	5	10

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	9	31	8	9	8	16	24	109	122
A2	30	29	3	7	3	6	9	90	112
A3	6	15	7	3	7	14	21	186	207
A4	35	34	4	8	4	8	12	145	177
A5	35	2	6	2	6	12	18	112	144
A6	7	2	9	2	9	18	27	164	181
A7	12	1	3	8	3	6	9	187	207
A8	16	11	5	6	5	10	15	99	190
A9	8	7	5	7	5	10	15	129	147
A10	17	3	6	7	6	12	18	101	129
A11	3	18	5	7	5	10	15	89	113
A12	18	20	4	3	4	8	12	89	207
A13	10	8	4	9	4	8	12	106	134
A14	24	5	5	6	5	10	15	208	219
A15	23	22	4	8	4	8	12	121	174
A16	40	8	4	4	4	8	12	112	174
A17	17	39	3	1	3	6	9	109	131
A18	37	36	5	5	5	10	15	187	199

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	6	27	7	14
NrA2	29	15	6	12
NrA3	28	15	4	8
NrA4	34	13	5	10
NrA5	2	3	14	28
NrA6	1	11	3	6
NrA7	7	17	6	12
NrA8	8	20	6	12
NrA9	20	4	5	10
NrA10	5	22	6	12
NrA11	36	35	3	6
