Name:		TWC40C
Optimal value:	-1
#Vehicles:	-1
Capacity:	75
Depot Node:	1
#Nodes:	40
#Edges:	31
#Arcs:	38
#Required N:	20
#Required E:	18
#Required A:	25

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N8	9	0	5	167	208
N3	7	0	6	91	139
N18	3	0	3	111	174
N10	9	0	4	96	144
N22	4	0	6	154	196
N5	7	0	9	175	212
N25	8	0	5	175	217
N17	1	0	3	99	141
N31	8	0	8	70	129
N9	1	0	6	148	188
N33	7	0	4	100	163
N29	8	0	5	70	109
N6	5	0	5	95	166
N32	6	0	6	136	184
N28	5	0	5	112	168
N26	7	0	5	124	173
N16	3	0	4	189	225
N35	8	0	4	135	187
N13	9	0	4	79	129
N23	1	0	4	91	131

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	30	31	4	2	4	8	4	87	128
E2	6	27	7	9	7	14	7	122	155
E3	6	15	7	3	7	14	7	176	217
E4	27	28	4	5	4	8	4	80	116
E5	13	14	5	6	5	10	5	109	166
E6	13	34	5	1	5	10	5	168	218
E7	7	34	4	8	4	8	4	81	119
E8	11	16	5	6	5	10	5	89	200
E9	10	21	5	6	5	10	5	122	184
E10	5	22	6	8	6	12	6	189	225
E11	22	23	4	8	4	8	4	111	184
E12	8	40	4	4	4	8	4	102	184
E13	20	40	5	8	5	10	5	108	176
E14	17	40	5	7	5	10	5	108	139
E15	33	37	4	5	4	8	4	155	196
E16	36	37	5	5	5	10	5	177	209
E17	36	38	5	6	5	10	5	197	242
E18	2	38	7	9	7	14	7	96	217

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	9	33	6	12
NrE2	32	33	4	8
NrE3	15	29	6	12
NrE4	33	35	5	10
NrE5	16	28	5	10
NrE6	26	27	5	10
NrE7	34	35	4	8
NrE8	1	13	4	8
NrE9	11	23	4	8
NrE10	3	17	6	12
NrE11	18	19	3	6
NrE12	10	22	6	12
NrE13	5	21	9	18

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	9	31	8	9	8	16	8	99	132
A2	30	29	3	7	3	6	3	80	122
A3	15	28	4	4	4	8	4	96	166
A4	1	14	5	8	5	10	5	136	196
A5	35	2	6	2	6	12	6	102	154
A6	2	3	14	1	14	28	14	124	166
A7	2	7	9	2	9	18	9	154	191
A8	13	12	4	1	4	8	4	147	207
A9	1	12	3	8	3	6	3	177	217
A10	12	8	4	2	4	8	4	179	217
A11	11	1	3	5	3	6	3	90	129
A12	26	16	4	3	4	8	4	79	120
A13	23	26	5	5	5	10	5	136	176
A14	7	8	5	7	5	10	5	119	157
A15	7	17	6	2	6	12	6	135	206
A16	3	18	5	7	5	10	5	79	123
A17	8	20	6	7	6	12	6	84	116
A18	20	18	4	3	4	8	4	79	217
A19	20	19	5	1	5	10	5	97	186
A20	19	4	8	1	8	16	8	88	144
A21	4	20	5	1	5	10	5	79	128
A22	24	5	5	6	5	10	5	198	229
A23	22	24	5	3	5	10	5	98	140
A24	24	25	4	3	4	8	4	127	178
A25	37	38	7	5	7	14	7	188	228

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	6	31	8	16
NrA2	32	29	5	10
NrA3	29	6	5	10
NrA4	32	13	6	12
NrA5	15	16	4	8
NrA6	15	14	2	4
NrA7	11	8	5	10
NrA8	21	4	5	10
NrA9	8	10	4	8
NrA10	25	26	5	10
NrA11	17	39	3	6
NrA12	39	7	6	12
NrA13	35	36	3	6
