Name:		TWe11
Optimal value:	-1
#Vehicles:	-1
Capacity:	180
Depot Node:	1
#Nodes:	77
#Edges:	58
#Arcs:	40
#Required N:	26
#Required E:	43
#Required A:	29

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N13	7	0	7	1064	1065
N19	41	0	41	1246	1255
N21	38	0	38	1200	1208
N75	24	0	24	1403	1412
N22	4	0	4	1034	1043
N24	27	0	27	1262	1262
N23	12	0	12	1032	1032
N26	18	0	18	1119	1128
N28	16	0	16	1451	1459
N30	14	0	14	1187	1194
N32	30	0	30	1218	1227
N33	27	0	27	1319	1322
N37	75	0	75	1343	1344
N45	12	0	12	1475	1484
N46	13	0	13	1073	1081
N50	2	0	2	1084	1093
N53	4	0	4	1051	1052
N52	4	0	4	1492	1501
N55	6	0	6	1147	1149
N56	26	0	26	1292	1294
N58	33	0	33	1026	1031
N65	21	0	21	1046	1047
N69	11	0	11	1286	1293
N70	56	0	56	1499	1501
N72	92	0	92	1296	1297
N59	28	0	28	1288	1296

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	1	2	32	32	32	32	32	1420	1423
E2	2	3	14	14	14	14	14	1391	1398
E3	2	4	17	17	17	17	17	1455	1456
E4	5	6	8	8	8	8	8	1138	1143
E5	7	8	18	18	18	18	18	1182	1187
E6	9	10	20	20	20	20	20	1317	1324
E7	12	16	29	29	29	29	29	1068	1076
E8	13	16	13	13	13	13	13	1078	1082
E9	15	17	26	26	26	26	26	1306	1308
E10	25	26	17	17	17	17	17	1445	1448
E11	26	27	15	15	15	15	15	1228	1228
E12	25	29	27	27	27	27	27	1133	1138
E13	23	31	40	40	40	40	40	1256	1262
E14	32	34	43	43	43	43	43	1465	1472
E15	32	35	86	86	86	86	86	1142	1149
E16	37	38	8	8	8	8	8	1220	1228
E17	37	39	21	21	21	21	21	1414	1417
E18	39	40	5	5	5	5	5	1114	1122
E19	35	39	7	7	7	7	7	1175	1181
E20	35	41	15	15	15	15	15	1478	1483
E21	40	41	9	9	9	9	9	1328	1336
E22	41	42	18	18	18	18	18	1219	1228
E23	43	44	78	78	78	78	78	1342	1351
E24	11	48	79	79	79	79	79	1393	1396
E25	47	49	9	9	9	9	9	1223	1225
E26	49	51	10	10	10	10	10	1278	1282
E27	24	53	24	24	24	24	24	1342	1345
E28	19	50	30	30	30	30	30	1374	1377
E29	42	57	14	14	14	14	14	1076	1083
E30	58	59	25	25	25	25	25	1082	1089
E31	11	59	78	78	78	78	78	1037	1046
E32	60	61	39	39	39	39	39	1088	1090
E33	62	63	30	30	30	30	30	1328	1337
E34	63	64	9	9	9	9	9	1319	1326
E35	62	66	16	16	16	16	16	1260	1260
E36	66	68	45	45	45	45	45	1034	1036
E37	4	69	75	75	75	75	75	1025	1026
E38	72	73	5	5	5	5	5	1435	1435
E39	73	74	25	25	25	25	25	1002	1011
E40	56	67	36	36	36	36	36	1081	1084
E41	23	75	17	17	17	17	17	1456	1464
E42	76	77	35	35	35	35	35	1265	1272
E43	21	51	2	2	2	2	2	1152	1161

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	13	14	7	7
NrE2	18	19	41	41
NrE3	19	21	38	38
NrE4	23	26	12	12
NrE5	30	31	14	14
NrE6	33	36	27	27
NrE7	33	37	75	75
NrE8	45	46	12	12
NrE9	44	46	13	13
NrE10	52	54	4	4
NrE11	55	56	6	6
NrE12	63	65	21	21
NrE13	59	69	11	11
NrE14	70	71	56	56
NrE15	18	72	92	92

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	4	5	56	56	56	56	56	1167	1174
A2	5	7	6	6	6	6	6	1238	1244
A3	8	9	26	26	26	26	26	1476	1485
A4	10	11	12	12	12	12	12	1070	1076
A5	11	12	32	32	32	32	32	1008	1010
A6	15	14	7	7	7	7	7	1499	1501
A7	13	77	12	12	12	12	12	1256	1264
A8	15	18	38	38	38	38	38	1318	1323
A9	19	20	32	32	32	32	32	1146	1153
A10	20	18	21	21	21	21	21	1263	1270
A11	22	21	17	17	17	17	17	1141	1144
A12	25	75	16	16	16	16	16	1096	1102
A13	32	31	58	58	58	58	58	1265	1265
A14	43	42	11	11	11	11	11	1199	1207
A15	44	45	12	12	12	12	12	1241	1243
A16	47	46	33	33	33	33	33	1320	1324
A17	48	47	10	10	10	10	10	1309	1311
A18	49	50	8	8	8	8	8	1093	1095
A19	52	53	4	4	4	4	4	1247	1254
A20	57	58	78	78	78	78	78	1062	1069
A21	62	60	23	23	23	23	23	1398	1405
A22	69	58	32	32	32	32	32	1230	1238
A23	72	71	6	6	6	6	6	1444	1445
A24	71	73	5	5	5	5	5	1498	1498
A25	76	12	7	7	7	7	7	1179	1184
A26	76	20	8	8	8	8	8	1289	1293
A27	77	15	13	13	13	13	13	1343	1343
A28	60	67	29	29	29	29	29	1373	1379
A29	67	62	31	31	31	31	31	1017	1024

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	22	75	24	24
NrA2	24	22	4	4
NrA3	25	24	27	27
NrA4	28	26	18	18
NrA5	29	28	16	16
NrA6	33	32	30	30
NrA7	50	52	2	2
NrA8	51	53	4	4
NrA9	56	42	26	26
NrA10	58	60	33	33
NrA11	44	59	28	28
