Name:		TWe1
Optimal value:	-1
#Vehicles:	-1
Capacity:	305
Depot Node:	1
#Nodes:	77
#Edges:	59
#Arcs:	39
#Required N:	15
#Required E:	21
#Required A:	15

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N3	14	0	14	1652	1675
N12	32	0	32	1163	1181
N13	13	0	13	1923	1950
N19	41	0	41	619	643
N75	24	0	24	1220	1245
N35	15	0	15	1040	1066
N44	78	0	78	853	863
N45	12	0	12	1692	1719
N47	10	0	10	707	726
N49	9	0	9	1824	1834
N50	2	0	2	781	810
N55	6	0	6	826	842
N62	23	0	23	1423	1433
N66	45	0	45	766	792
N59	28	0	28	1171	1177

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	1	2	32	32	32	32	32	1744	1755
E2	2	4	17	17	17	17	17	1858	1863
E3	12	16	29	29	29	29	29	983	998
E4	15	17	26	26	26	26	26	626	644
E5	15	18	38	38	38	38	38	426	433
E6	19	20	32	32	32	32	32	650	662
E7	23	31	40	40	40	40	40	1380	1388
E8	32	34	43	43	43	43	43	868	891
E9	32	35	86	86	86	86	86	1242	1265
E10	49	50	8	8	8	8	8	502	502
E11	52	54	4	4	4	4	4	1843	1868
E12	42	57	14	14	14	14	14	1000	1022
E13	57	58	78	78	78	78	78	1220	1240
E14	11	59	78	78	78	78	78	1100	1127
E15	58	60	33	33	33	33	33	1889	1910
E16	60	61	39	39	39	39	39	854	876
E17	62	63	30	30	30	30	30	1500	1504
E18	63	65	21	21	21	21	21	1104	1130
E19	62	66	16	16	16	16	16	1726	1735
E20	58	69	32	32	32	32	32	960	980
E21	4	69	75	75	75	75	75	1451	1476

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	2	3	14	14
NrE2	18	19	41	41
NrE3	22	75	24	24
NrE4	43	44	78	78
NrE5	44	45	12	12
NrE6	47	48	10	10
NrE7	50	52	2	2
NrE8	55	56	6	6
NrE9	60	62	23	23
NrE10	66	68	45	45
NrE11	44	59	28	28
NrE12	5	6	8	8
NrE13	5	7	6	6
NrE14	7	8	18	18
NrE15	18	20	21	21
NrE16	22	24	4	4
NrE17	24	25	27	27
NrE18	23	26	12	12
NrE19	26	27	15	15
NrE20	26	28	18	18
NrE21	30	31	14	14
NrE22	33	36	27	27
NrE23	37	38	8	8
NrE24	37	39	21	21
NrE25	39	40	5	5
NrE26	35	39	7	7
NrE27	11	48	79	79
NrE28	51	53	4	4
NrE29	24	53	24	24
NrE30	63	64	9	9
NrE31	70	71	56	56
NrE32	71	72	6	6
NrE33	72	73	5	5
NrE34	73	74	25	25
NrE35	18	72	92	92
NrE36	56	67	36	36
NrE37	12	76	7	7
NrE38	76	77	35	35

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	4	5	56	56	56	56	56	936	959
A2	9	10	20	20	20	20	20	844	860
A3	14	13	7	7	7	7	7	1417	1438
A4	21	19	38	38	38	38	38	607	610
A5	22	21	17	17	17	17	17	1998	2004
A6	31	32	58	58	58	58	58	1420	1435
A7	32	33	30	30	30	30	30	1189	1218
A8	46	44	13	13	13	13	13	511	539
A9	47	46	33	33	33	33	33	1241	1243
A10	49	51	10	10	10	10	10	1132	1133
A11	59	58	25	25	25	25	25	1250	1251
A12	59	69	11	11	11	11	11	1930	1947
A13	23	75	17	17	17	17	17	1103	1130
A14	76	20	8	8	8	8	8	1037	1061
A15	21	51	2	2	2	2	2	1494	1521

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	11	12	32	32
NrA2	13	16	13	13
NrA3	41	35	15	15
NrA4	47	49	9	9
NrA5	8	9	26	26
NrA6	10	11	12	12
NrA7	15	14	7	7
NrA8	77	13	12	12
NrA9	25	75	16	16
NrA10	26	25	17	17
NrA11	29	28	16	16
NrA12	25	29	27	27
NrA13	33	37	75	75
NrA14	40	41	9	9
NrA15	41	42	18	18
NrA16	42	43	11	11
NrA17	45	46	12	12
NrA18	53	52	4	4
NrA19	19	50	30	30
NrA20	42	56	26	26
NrA21	73	71	5	5
NrA22	15	77	13	13
NrA23	67	60	29	29
NrA24	62	67	31	31
