Name:		TWe2
Optimal value:	-1
#Vehicles:	-1
Capacity:	220
Depot Node:	1
#Nodes:	77
#Edges:	55
#Arcs:	43
#Required N:	13
#Required E:	26
#Required A:	12

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N4	17	0	17	1858	1863
N5	56	0	56	936	959
N18	38	0	38	426	433
N75	24	0	24	1220	1245
N23	40	0	40	1380	1388
N31	58	0	58	1420	1435
N35	86	0	86	1242	1265
N44	78	0	78	853	863
N51	10	0	10	1132	1133
N58	78	0	78	1220	1240
N11	78	0	78	1100	1127
N60	39	0	39	854	876
N66	16	0	16	1726	1735

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	1	2	32	32	32	32	32	1744	1755
E2	2	3	14	14	14	14	14	1652	1675
E3	12	16	29	29	29	29	29	983	998
E4	13	14	7	7	7	7	7	1417	1438
E5	15	17	26	26	26	26	26	626	644
E6	18	19	41	41	41	41	41	619	643
E7	19	20	32	32	32	32	32	650	662
E8	19	21	38	38	38	38	38	607	610
E9	21	22	17	17	17	17	17	1998	2004
E10	32	34	43	43	43	43	43	868	891
E11	35	41	15	15	15	15	15	1040	1066
E12	44	45	12	12	12	12	12	1692	1719
E13	44	46	13	13	13	13	13	511	539
E14	49	50	8	8	8	8	8	502	502
E15	52	54	4	4	4	4	4	1843	1868
E16	55	56	6	6	6	6	6	826	842
E17	42	57	14	14	14	14	14	1000	1022
E18	60	62	23	23	23	23	23	1423	1433
E19	62	63	30	30	30	30	30	1500	1504
E20	63	65	21	21	21	21	21	1104	1130
E21	66	68	45	45	45	45	45	766	792
E22	58	69	32	32	32	32	32	960	980
E23	59	69	11	11	11	11	11	1930	1947
E24	23	75	17	17	17	17	17	1103	1130
E25	20	76	8	8	8	8	8	1037	1061
E26	21	51	2	2	2	2	2	1494	1521

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	2	4	17	17
NrE2	4	5	56	56
NrE3	31	32	58	58
NrE4	57	58	78	78
NrE5	11	59	78	78
NrE6	60	61	39	39
NrE7	62	66	16	16
NrE8	5	6	8	8
NrE9	25	26	17	17
NrE10	26	27	15	15
NrE11	26	28	18	18
NrE12	25	29	27	27
NrE13	30	31	14	14
NrE14	33	36	27	27
NrE15	33	37	75	75
NrE16	37	38	8	8
NrE17	39	40	5	5
NrE18	41	42	18	18
NrE19	42	43	11	11
NrE20	45	46	12	12
NrE21	52	53	4	4
NrE22	24	53	24	24
NrE23	63	64	9	9
NrE24	70	71	56	56
NrE25	71	73	5	5
NrE26	72	73	5	5
NrE27	73	74	25	25
NrE28	18	72	92	92
NrE29	76	77	35	35

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	9	10	20	20	20	20	20	844	860
A2	12	11	32	32	32	32	32	1163	1181
A3	16	13	13	13	13	13	13	1923	1950
A4	32	33	30	30	30	30	30	1189	1218
A5	47	46	33	33	33	33	33	1241	1243
A6	47	48	10	10	10	10	10	707	726
A7	49	47	9	9	9	9	9	1824	1834
A8	52	50	2	2	2	2	2	781	810
A9	59	58	25	25	25	25	25	1250	1251
A10	60	58	33	33	33	33	33	1889	1910
A11	69	4	75	75	75	75	75	1451	1476
A12	44	59	28	28	28	28	28	1171	1177

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	15	18	38	38
NrA2	22	75	24	24
NrA3	31	23	40	40
NrA4	35	32	86	86
NrA5	44	43	78	78
NrA6	51	49	10	10
NrA7	5	7	6	6
NrA8	7	8	18	18
NrA9	8	9	26	26
NrA10	10	11	12	12
NrA11	15	14	7	7
NrA12	13	77	12	12
NrA13	20	18	21	21
NrA14	22	24	4	4
NrA15	25	24	27	27
NrA16	75	25	16	16
NrA17	26	23	12	12
NrA18	29	28	16	16
NrA19	37	39	21	21
NrA20	39	35	7	7
NrA21	40	41	9	9
NrA22	48	11	79	79
NrA23	51	53	4	4
NrA24	50	19	30	30
NrA25	42	56	26	26
NrA26	72	71	6	6
NrA27	56	67	36	36
NrA28	76	12	7	7
NrA29	77	15	13	13
NrA30	60	67	29	29
NrA31	67	62	31	31
