Name:		TWe4
Optimal value:	-1
#Vehicles:	-1
Capacity:	280
Depot Node:	1
#Nodes:	77
#Edges:	59
#Arcs:	39
#Required N:	25
#Required E:	31
#Required A:	16

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N4	17	0	17	1411	1412
N8	18	0	18	977	983
N13	7	0	7	637	645
N15	26	0	26	656	660
N18	38	0	38	629	630
N22	17	0	17	1137	1142
N75	24	0	24	993	1002
N25	16	0	16	900	908
N28	18	0	18	1025	1025
N31	40	0	40	1390	1393
N32	30	0	30	957	957
N41	15	0	15	875	882
N47	33	0	33	1430	1437
N48	10	0	10	784	791
N49	9	0	9	1139	1142
N51	4	0	4	728	736
N54	4	0	4	1456	1461
N50	30	0	30	939	948
N57	14	0	14	1184	1193
N60	39	0	39	1119	1121
N69	32	0	32	995	1002
N73	5	0	5	1249	1252
N74	25	0	25	1084	1086
N72	92	0	92	652	659
N20	8	0	8	664	671

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	1	2	32	32	32	32	32	1340	1343
E2	2	3	14	14	14	14	14	1283	1290
E3	5	7	6	6	6	6	6	777	782
E4	13	16	13	13	13	13	13	516	518
E5	18	19	41	41	41	41	41	1498	1500
E6	19	21	38	38	38	38	38	1112	1114
E7	22	24	4	4	4	4	4	792	799
E8	25	26	17	17	17	17	17	783	786
E9	23	26	12	12	12	12	12	1307	1316
E10	26	27	15	15	15	15	15	569	578
E11	25	29	27	27	27	27	27	692	698
E12	31	32	58	58	58	58	58	564	564
E13	32	34	43	43	43	43	43	738	747
E14	33	36	27	27	27	27	27	766	771
E15	44	45	12	12	12	12	12	1031	1031
E16	50	52	2	2	2	2	2	1329	1332
E17	52	53	4	4	4	4	4	850	856
E18	24	53	24	24	24	24	24	1157	1165
E19	55	56	6	6	6	6	6	898	906
E20	57	58	78	78	78	78	78	982	984
E21	58	59	25	25	25	25	25	1450	1459
E22	11	59	78	78	78	78	78	647	655
E23	62	63	30	30	30	30	30	947	949
E24	63	64	9	9	9	9	9	687	689
E25	63	65	21	21	21	21	21	1056	1060
E26	62	66	16	16	16	16	16	669	678
E27	66	68	45	45	45	45	45	603	604
E28	59	69	11	11	11	11	11	1484	1493
E29	4	69	75	75	75	75	75	1184	1187
E30	72	73	5	5	5	5	5	794	796
E31	44	59	28	28	28	28	28	552	557

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	2	4	17	17
NrE2	7	8	18	18
NrE3	15	17	26	26
NrE4	21	22	17	17
NrE5	25	75	16	16
NrE6	26	28	18	18
NrE7	23	31	40	40
NrE8	46	47	33	33
NrE9	47	48	10	10
NrE10	47	49	9	9
NrE11	51	53	4	4
NrE12	52	54	4	4
NrE13	60	61	39	39
NrE14	73	74	25	25
NrE15	18	72	92	92
NrE16	5	6	8	8
NrE17	14	15	7	7
NrE18	13	77	12	12
NrE19	30	31	14	14
NrE20	37	38	8	8
NrE21	37	39	21	21
NrE22	45	46	12	12
NrE23	11	48	79	79
NrE24	42	56	26	26
NrE25	70	71	56	56
NrE26	15	77	13	13
NrE27	76	77	35	35
NrE28	60	67	29	29

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	4	5	56	56	56	56	56	835	842
A2	8	9	26	26	26	26	26	864	869
A3	9	10	20	20	20	20	20	1452	1461
A4	12	11	32	32	32	32	32	1135	1142
A5	16	12	29	29	29	29	29	641	647
A6	19	20	32	32	32	32	32	1012	1020
A7	24	25	27	27	27	27	27	1026	1033
A8	35	32	86	86	86	86	86	1402	1410
A9	44	43	78	78	78	78	78	1012	1018
A10	44	46	13	13	13	13	13	937	946
A11	50	49	8	8	8	8	8	1187	1188
A12	49	51	10	10	10	10	10	940	948
A13	60	58	33	33	33	33	33	1141	1145
A14	60	62	23	23	23	23	23	1286	1289
A15	23	75	17	17	17	17	17	625	632
A16	51	21	2	2	2	2	2	574	583

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	14	13	7	7
NrA2	15	18	38	38
NrA3	22	75	24	24
NrA4	32	33	30	30
NrA5	41	35	15	15
NrA6	50	19	30	30
NrA7	42	57	14	14
NrA8	69	58	32	32
NrA9	73	71	5	5
NrA10	20	76	8	8
NrA11	10	11	12	12
NrA12	20	18	21	21
NrA13	29	28	16	16
NrA14	33	37	75	75
NrA15	39	40	5	5
NrA16	35	39	7	7
NrA17	40	41	9	9
NrA18	41	42	18	18
NrA19	43	42	11	11
NrA20	71	72	6	6
NrA21	56	67	36	36
NrA22	76	12	7	7
NrA23	62	67	31	31
