Name:		TWs1
Optimal value:	-1
#Vehicles:	-1
Capacity:	210
Depot Node:	1
#Nodes:	140
#Edges:	109
#Arcs:	81
#Required N:	15
#Required E:	38
#Required A:	22

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N22	10	0	20	1923	1950
N24	33	0	66	1417	1438
N30	5	0	10	607	610
N32	28	0	56	1998	2004
N38	25	0	50	1189	1218
N49	10	0	20	1824	1834
N64	15	0	30	1000	1022
N71	9	0	18	1423	1433
N78	15	0	30	766	792
N80	12	0	24	1930	1947
N84	10	0	20	1037	1061
N86	20	0	40	1494	1521
N109	103	0	206	671	698
N113	12	0	24	870	876
N27	50	0	100	1450	1479

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	5	6	26	26	26	26	52	1744	1755
E2	6	8	10	10	10	10	20	1652	1675
E3	8	11	48	48	48	48	96	936	959
E4	12	13	12	12	12	12	24	1163	1181
E5	13	14	18	18	18	18	36	983	998
E6	36	37	20	20	20	20	40	1420	1435
E7	38	39	6	6	6	6	12	868	891
E8	43	44	31	31	31	31	62	853	863
E9	34	45	4	4	4	4	8	511	539
E10	43	46	5	5	5	5	10	1241	1243
E11	33	139	13	13	13	13	26	707	726
E12	49	140	24	24	24	24	48	502	502
E13	54	55	10	10	10	10	20	1132	1133
E14	55	56	4	4	4	4	8	781	810
E15	62	63	7	7	7	7	14	1843	1868
E16	63	64	9	9	9	9	18	826	842
E17	62	66	37	37	37	37	74	1220	1240
E18	66	67	33	33	33	33	66	1250	1251
E19	67	69	4	4	4	4	8	1889	1910
E20	69	71	6	6	6	6	12	854	876
E21	72	73	18	18	18	18	36	1500	1504
E22	44	73	36	36	36	36	72	1104	1130
E23	86	87	4	4	4	4	8	1171	1177
E24	97	98	3	3	3	3	6	1425	1437
E25	102	104	21	21	21	21	42	1391	1399
E26	104	105	6	6	6	6	12	1657	1666
E27	105	106	15	15	15	15	30	1115	1121
E28	107	108	25	25	25	25	50	1290	1302
E29	107	110	8	8	8	8	16	565	568
E30	110	111	7	7	7	7	14	1192	1214
E31	107	112	13	13	13	13	26	1495	1506
E32	112	113	4	4	4	4	8	1599	1610
E33	1	116	18	18	18	18	36	1335	1342
E34	116	117	19	19	19	19	38	643	664
E35	2	117	16	16	16	16	32	600	623
E36	117	119	24	24	24	24	48	662	684
E37	114	118	58	58	58	58	116	519	547
E38	126	130	35	35	35	35	70	681	688

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	20	22	10	10
NrE2	20	24	33	33
NrE3	30	32	28	28
NrE4	77	78	15	15
NrE5	84	85	10	10
NrE6	108	109	103	103
NrE7	113	114	12	12
NrE8	11	27	50	50
NrE9	6	7	21	21
NrE10	9	10	12	12
NrE11	15	16	8	8
NrE12	15	17	13	13
NrE13	13	16	12	12
NrE14	17	18	8	8
NrE15	18	19	6	6
NrE16	23	24	56	56
NrE17	23	26	20	20
NrE18	29	33	52	52
NrE19	35	36	4	4
NrE20	35	37	17	17
NrE21	38	41	10	10
NrE22	41	47	99	99
NrE23	42	43	5	5
NrE24	48	50	8	8
NrE25	50	51	30	30
NrE26	53	140	24	24
NrE27	57	58	20	20
NrE28	45	60	15	15
NrE29	59	61	31	31
NrE30	56	65	30	30
NrE31	69	70	8	8
NrE32	70	71	9	9
NrE33	72	74	15	15
NrE34	73	74	5	5
NrE35	71	75	36	36
NrE36	74	76	27	27
NrE37	82	83	10	10
NrE38	81	83	17	17
NrE39	83	84	18	18
NrE40	88	89	14	14
NrE41	89	92	10	10
NrE42	82	92	26	26
NrE43	84	92	29	29
NrE44	64	93	28	28
NrE45	63	93	25	25
NrE46	93	94	17	17
NrE47	94	95	49	49
NrE48	101	102	17	17
NrE49	114	115	36	36
NrE50	115	116	10	10
NrE51	115	117	20	20
NrE52	91	118	35	35
NrE53	118	121	17	17
NrE54	120	121	16	16
NrE55	87	122	15	15
NrE56	122	123	15	15
NrE57	123	125	32	32
NrE58	4	124	67	67
NrE59	126	127	15	15
NrE60	127	128	22	22
NrE61	3	128	41	41
NrE62	131	132	5	5
NrE63	132	133	7	7
NrE64	133	134	10	10
NrE65	133	135	19	19
NrE66	134	135	14	14
NrE67	134	136	31	31
NrE68	136	137	29	29
NrE69	136	138	5	5
NrE70	125	138	20	20
NrE71	58	70	11	11

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	8	9	37	37	37	37	74	1858	1863
A2	11	12	25	25	25	25	50	844	860
A3	24	25	10	10	10	10	20	626	644
A4	27	25	19	19	19	19	38	426	433
A5	27	28	6	6	6	6	12	619	643
A6	28	29	5	5	5	5	10	650	662
A7	33	11	24	24	24	24	48	1220	1245
A8	34	139	49	49	49	49	98	1380	1388
A9	39	40	18	18	18	18	36	1242	1265
A10	37	43	16	16	16	16	32	1040	1066
A11	45	44	14	14	14	14	28	1692	1719
A12	68	67	9	9	9	9	18	1100	1127
A13	77	46	16	16	16	16	32	1726	1735
