Name:		TWs3
Optimal value:	-1
#Vehicles:	-1
Capacity:	160
Depot Node:	1
#Nodes:	140
#Edges:	102
#Arcs:	88
#Required N:	46
#Required E:	57
#Required A:	44

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N113	4	0	8	1444	1448
N117	16	0	32	1175	1179
N118	49	0	98	981	984
N3	41	0	82	1230	1233
N127	11	0	22	1420	1426
N138	20	0	40	688	692
N140	18	0	36	1264	1270
N11	50	0	100	621	627
N12	25	0	50	777	782
N14	18	0	36	864	869
N16	12	0	24	1452	1461
N20	34	0	68	641	647
N21	58	0	116	516	518
N22	10	0	20	637	645
N29	5	0	10	993	1002
N28	5	0	10	792	799
N33	52	0	104	783	786
N34	49	0	98	569	578
N36	4	0	8	692	698
N39	18	0	36	1402	1410
N41	10	0	20	875	882
N43	5	0	10	937	946
N37	16	0	32	1430	1437
N45	14	0	28	1139	1142
N47	7	0	14	1329	1332
N46	5	0	10	728	736
N56	49	0	98	1141	1145
N61	35	0	70	1056	1060
N49	13	0	26	603	604
N57	14	0	28	995	1002
N64	15	0	30	1249	1252
N66	37	0	74	794	796
N67	9	0	18	652	659
N69	4	0	8	625	632
N78	15	0	30	551	552
N79	12	0	24	1389	1390
N81	10	0	20	1370	1370
N83	17	0	34	663	666
N84	13	0	26	1413	1421
N85	10	0	20	1079	1083
N86	20	0	40	1187	1187
N97	17	0	34	1373	1381
N99	33	0	66	663	671
N107	28	0	56	1200	1203
N108	25	0	50	828	830
N112	13	0	26	971	976

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	5	6	26	26	26	26	52	1340	1343
E2	6	8	10	10	10	10	20	1283	1290
E3	8	11	48	48	48	48	96	835	842
E4	12	13	12	12	12	12	24	977	983
E5	25	27	19	19	19	19	38	1112	1114
E6	30	31	41	41	41	41	82	1026	1033
E7	30	32	28	28	28	28	56	900	908
E8	34	35	59	59	59	59	118	1025	1025
E9	36	37	20	20	20	20	40	564	564
E10	36	38	25	25	25	25	50	957	957
E11	40	41	12	12	12	12	24	766	771
E12	41	47	99	99	99	99	198	1012	1018
E13	34	45	4	4	4	4	8	1187	1188
E14	33	139	13	13	13	13	26	850	856
E15	48	49	10	10	10	10	20	1456	1461
E16	48	50	8	8	8	8	16	1157	1165
E17	49	140	24	24	24	24	48	982	984
E18	54	55	10	10	10	10	20	1450	1459
E19	55	56	4	4	4	4	8	647	655
E20	57	58	20	20	20	20	40	1119	1121
E21	58	59	40	40	40	40	80	1286	1289
E22	59	60	18	18	18	18	36	947	949
E23	59	61	31	31	31	31	62	669	678
E24	62	63	7	7	7	7	14	1484	1493
E25	63	64	9	9	9	9	18	1184	1187
E26	66	67	33	33	33	33	66	1084	1086
E27	69	71	6	6	6	6	12	552	557
E28	71	72	9	9	9	9	18	676	678
E29	72	73	18	18	18	18	36	1297	1304
E30	73	74	5	5	5	5	10	1139	1146
E31	74	76	27	27	27	27	54	569	571
E32	46	77	16	16	16	16	32	1073	1080
E33	79	81	9	9	9	9	18	1497	1497
E34	82	83	10	10	10	10	20	1093	1094
E35	86	87	4	4	4	4	8	1030	1037
E36	64	93	28	28	28	28	56	1247	1253
E37	63	93	25	25	25	25	50	535	542
E38	97	98	3	3	3	3	6	1479	1486
E39	96	99	10	10	10	10	20	1403	1412
E40	105	106	15	15	15	15	30	1129	1131
E41	108	109	103	103	103	103	206	723	729
E42	110	111	7	7	7	7	14	780	785
E43	110	112	13	13	13	13	26	1219	1220
E44	113	114	12	12	12	12	24	934	934
E45	1	116	18	18	18	18	36	844	849
E46	114	118	58	58	58	58	116	1121	1121
E47	4	124	67	67	67	67	134	913	919
E48	126	127	15	15	15	15	30	847	848
E49	127	128	22	22	22	22	44	1109	1115
E50	126	130	35	35	35	35	70	1153	1155
E51	132	133	7	7	7	7	14	1186	1186
E52	133	134	10	10	10	10	20	611	614
E53	134	135	14	14	14	14	28	1166	1168
E54	134	136	31	31	31	31	62	1275	1277
E55	136	137	29	29	29	29	58	829	830
E56	55	140	14	14	14	14	28	1458	1467
E57	58	70	11	11	11	11	22	883	890

