Name:		TWs4
Optimal value:	-1
#Vehicles:	-1
Capacity:	160
Depot Node:	1
#Nodes:	140
#Edges:	115
#Arcs:	75
#Required N:	47
#Required E:	65
#Required A:	47

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N107	28	0	56	1472	1485
N108	103	0	206	1172	1189
N110	8	0	16	1416	1423
N112	4	0	8	1310	1311
N114	12	0	24	1336	1355
N115	36	0	72	1173	1178
N118	58	0	116	1055	1065
N124	67	0	134	1288	1305
N126	11	0	22	1333	1341
N127	15	0	30	1387	1395
N132	7	0	14	1191	1214
N135	14	0	28	1396	1412
N134	31	0	62	1148	1175
N138	5	0	10	1249	1266
N54	18	0	36	1247	1255
N11	50	0	100	1090	1110
N70	11	0	22	1363	1367
N5	26	0	52	1420	1431
N16	8	0	16	1317	1338
N19	28	0	56	1064	1067
N20	10	0	20	1306	1314
N23	56	0	112	1246	1275
N29	5	0	10	1403	1430
N32	28	0	56	1096	1115
N33	52	0	104	1445	1455
N36	4	0	8	1451	1476
N37	20	0	40	1187	1209
N41	99	0	198	1319	1329
N43	5	0	10	1220	1246
N45	14	0	28	1175	1195
N50	30	0	60	1073	1099
N52	12	0	24	1320	1332
N140	24	0	48	1393	1402
N49	24	0	48	1223	1229
N55	4	0	8	1278	1290
N59	40	0	80	1247	1269
N60	35	0	70	1374	1385
N61	13	0	26	1292	1299
N62	14	0	28	1076	1097
N63	7	0	14	1062	1085
N71	9	0	18	1046	1050
N69	6	0	12	1260	1262
N78	15	0	30	1081	1092
N79	12	0	24	1456	1480
N83	17	0	34	1288	1314
N84	18	0	36	1017	1039
N98	3	0	6	1164	1170

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	6	8	10	10	10	10	20	1391	1414
E2	8	11	48	48	48	48	96	1167	1190
E3	12	13	12	12	12	12	24	1238	1256
E4	13	14	18	18	18	18	36	1182	1197
E5	10	15	13	13	13	13	26	1476	1503
E6	13	17	6	6	6	6	12	1008	1015
E7	20	21	58	58	58	58	116	1256	1281
E8	24	25	10	10	10	10	20	1146	1169
E9	25	26	48	48	48	48	96	1263	1286
E10	25	27	19	19	19	19	38	1200	1226
E11	27	28	6	6	6	6	12	1141	1151
E12	28	30	5	5	5	5	10	1034	1062
E13	34	139	49	49	49	49	98	1228	1229
E14	36	38	25	25	25	25	50	1256	1276
E15	38	39	6	6	6	6	12	1265	1266
E16	40	41	12	12	12	12	24	1465	1486
E17	34	45	4	4	4	4	8	1478	1495
E18	42	47	4	4	4	4	8	1328	1353
E19	46	47	7	7	7	7	14	1219	1246
E20	33	139	13	13	13	13	26	1342	1369
E21	52	53	12	12	12	12	24	1309	1317
E22	56	57	49	49	49	49	98	1084	1111
E23	57	58	20	20	20	20	40	1051	1054
E24	45	60	15	15	15	15	30	1342	1353
E25	59	61	31	31	31	31	62	1147	1153
E26	64	65	15	15	15	15	30	1037	1065
E27	62	66	37	37	37	37	74	1026	1041
E28	67	69	4	4	4	4	8	1328	1357
E29	72	73	18	18	18	18	36	1230	1254
E30	71	75	36	36	36	36	72	1444	1447
E31	75	76	47	47	47	47	94	1498	1499
E32	76	77	10	10	10	10	20	1002	1029
E33	46	77	16	16	16	16	32	1296	1301
E34	79	80	12	12	12	12	24	1179	1195
E35	80	81	10	10	10	10	20	1343	1345
E36	80	82	16	16	16	16	32	1265	1287
E37	82	84	13	13	13	13	26	1373	1391
E38	85	86	20	20	20	20	40	1436	1460
E39	86	87	4	4	4	4	8	1489	1511
E40	89	92	10	10	10	10	20	1451	1480
E41	84	92	29	29	29	29	58	1081	1105
E42	64	93	28	28	28	28	56	1444	1446
E43	63	93	25	25	25	25	50	1324	1331
E44	95	96	8	8	8	8	16	1314	1320
E45	96	99	10	10	10	10	20	1037	1055
E46	97	99	37	37	37	37	74	1111	1130
E47	99	100	33	33	33	33	66	1255	1284
E48	104	105	6	6	6	6	12	1359	1362
E49	105	106	15	15	15	15	30	1235	1252
E50	106	108	38	38	38	38	76	1217	1217
E51	110	111	7	7	7	7	14	1337	1351
E52	110	112	13	13	13	13	26	1240	1249
E53	103	113	46	46	46	46	92	1206	1226
E54	1	116	18	18	18	18	36	1365	1374
E55	116	117	19	19	19	19	38	1370	1376
E56	2	117	16	16	16	16	32	1326	1333
E57	117	118	49	49	49	49	98	1266	1268
E58	119	120	14	14	14	14	28	1343	1345
E59	3	128	41	41	41	41	82	1492	1492
E60	128	129	23	23	23	23	46	1413	1422
E61	126	130	35	35	35	35	70	1479	1506
E62	126	131	26	26	26	26	52	1382	1402
