Name:		TWs5
Optimal value:	-1
#Vehicles:	-1
Capacity:	120
Depot Node:	1
#Nodes:	140
#Edges:	104
#Arcs:	86
#Required N:	33
#Required E:	69
#Required A:	57

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N108	38	0	76	1217	1217
N116	18	0	36	1365	1374
N126	15	0	30	1387	1395
N128	22	0	44	1164	1169
N131	26	0	52	1382	1402
N134	10	0	20	1471	1498
N138	47	0	94	1081	1089
N6	26	0	52	1420	1431
N8	48	0	96	1167	1190
N12	12	0	24	1238	1256
N10	13	0	26	1476	1503
N15	13	0	26	1070	1088
N20	34	0	68	1499	1505
N33	24	0	48	1032	1032
N41	12	0	24	1465	1486
N38	10	0	20	1142	1164
N50	8	0	16	1475	1502
N53	12	0	24	1309	1317
N58	20	0	40	1051	1054
N59	18	0	36	1492	1520
N61	31	0	62	1147	1153
N64	15	0	30	1037	1065
N72	9	0	18	1034	1040
N73	36	0	72	1499	1505
N75	47	0	94	1498	1499
N82	13	0	26	1373	1391
N83	18	0	36	1017	1039
N84	10	0	20	1416	1443
N86	20	0	40	1436	1460
N92	10	0	20	1451	1480
N96	8	0	16	1314	1320
N98	3	0	6	1164	1170
N97	37	0	74	1111	1130

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	6	8	10	10	10	10	20	1391	1414
E2	8	9	37	37	37	37	74	1455	1460
E3	13	14	18	18	18	18	36	1182	1197
E4	13	17	6	6	6	6	12	1008	1015
E5	13	16	12	12	12	12	24	1068	1092
E6	10	19	28	28	28	28	56	1064	1067
E7	20	21	58	58	58	58	116	1256	1281
E8	20	22	10	10	10	10	20	1306	1314
E9	20	24	33	33	33	33	66	1318	1333
E10	23	24	56	56	56	56	112	1246	1275
E11	24	25	10	10	10	10	20	1146	1169
E12	25	26	48	48	48	48	96	1263	1286
E13	27	28	6	6	6	6	12	1141	1151
E14	28	29	5	5	5	5	10	1403	1430
E15	30	31	41	41	41	41	82	1262	1264
E16	30	32	28	28	28	28	56	1096	1115
E17	29	33	52	52	52	52	104	1445	1455
E18	34	139	49	49	49	49	98	1228	1229
E19	35	36	4	4	4	4	8	1451	1476
E20	38	39	6	6	6	6	12	1265	1266
E21	39	40	18	18	18	18	36	1218	1245
E22	42	43	5	5	5	5	10	1220	1246
E23	37	43	16	16	16	16	32	1414	1423
E24	43	44	31	31	31	31	62	1114	1140
E25	44	45	14	14	14	14	28	1175	1195
E26	34	45	4	4	4	4	8	1478	1495
E27	46	47	7	7	7	7	14	1219	1246
E28	33	139	13	13	13	13	26	1342	1369
E29	53	140	24	24	24	24	48	1393	1402
E30	49	140	24	24	24	24	48	1223	1229
E31	54	55	10	10	10	10	20	1093	1101
E32	45	60	15	15	15	15	30	1342	1353
E33	49	61	13	13	13	13	26	1292	1299
E34	62	63	7	7	7	7	14	1062	1085
E35	66	67	33	33	33	33	66	1088	1095
E36	69	70	8	8	8	8	16	1319	1341
E37	69	71	6	6	6	6	12	1260	1262
E38	72	73	18	18	18	18	36	1230	1254
E39	73	74	5	5	5	5	10	1025	1029
E40	74	76	27	27	27	27	54	1435	1437
E41	76	77	10	10	10	10	20	1002	1029
E42	78	79	12	12	12	12	24	1456	1480
E43	79	81	9	9	9	9	18	1289	1302
E44	80	81	10	10	10	10	20	1343	1345
E45	86	87	4	4	4	4	8	1489	1511
E46	82	92	26	26	26	26	52	1333	1347
E47	63	93	25	25	25	25	50	1324	1331
E48	102	104	21	21	21	21	42	1140	1156
E49	104	105	6	6	6	6	12	1359	1362
E50	105	106	15	15	15	15	30	1235	1252
E51	106	107	28	28	28	28	56	1472	1485
E52	107	108	25	25	25	25	50	1168	1193
E53	108	109	103	103	103	103	206	1172	1189
E54	110	111	7	7	7	7	14	1337	1351
E55	110	112	13	13	13	13	26	1240	1249
E56	114	115	36	36	36	36	72	1173	1178
E57	116	117	19	19	19	19	38	1370	1376
E58	2	117	16	16	16	16	32	1326	1333
E59	117	118	49	49	49	49	98	1266	1268
E60	114	118	58	58	58	58	116	1055	1065
E61	4	124	67	67	67	67	134	1288	1305
E62	124	126	11	11	11	11	22	1333	1341
E63	3	128	41	41	41	41	82	1492	1492
E64	126	130	35	35	35	35	70	1479	1506
E65	133	135	19	19	19	19	38	1430	1436
E66	134	136	31	31	31	31	62	1148	1175
E67	136	137	29	29	29	29	58	1454	1480
E68	11	27	50	50	50	50	100	1090	1110
E69	58	70	11	11	11	11	22	1363	1367

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	5	6	26	26
NrE2	12	13	12	12
NrE3	10	15	13	13
NrE4	40	41	12	12
NrE5	38	41	10	10
NrE6	48	50	8	8
NrE7	52	53	12	12
NrE8	59	60	18	18
NrE9	59	61	31	31
NrE10	64	65	15	15
NrE11	71	72	9	9
NrE12	44	73	36	36
NrE13	75	76	47	47
NrE14	84	85	10	10
NrE15	97	98	3	3
NrE16	97	99	37	37
NrE17	1	116	18	18
NrE18	126	127	15	15
NrE19	127	128	22	22
NrE20	126	131	26	26
NrE21	133	134	10	10
NrE22	6	7	21	21
NrE23	18	19	6	6
NrE24	26	31	12	12
NrE25	48	139	49	49
NrE26	86	88	33	33
NrE27	94	95	49	49
NrE28	66	101	28	28
NrE29	91	103	27	27
NrE30	118	121	17	17
NrE31	120	121	16	16
NrE32	121	122	8	8
NrE33	87	122	15	15
NrE34	123	124	29	29
NrE35	123	125	32	32

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	11	12	25	25	25	25	50	1138	1154
A2	15	16	8	8	8	8	16	1317	1338
A3	17	18	8	8	8	8	16	1078	1090
A4	25	27	19	19	19	19	38	1200	1226
A5	30	28	5	5	5	5	10	1034	1062
A6	34	35	59	59	59	59	118	1119	1148
A7	37	35	17	17	17	17	34	1133	1149
A8	36	37	20	20	20	20	40	1187	1209
A9	36	38	25	25	25	25	50	1256	1276
A10	41	47	99	99	99	99	198	1319	1329
A11	42	37	17	17	17	17	34	1343	1347
A12	47	42	4	4	4	4	8	1328	1353
A13	46	43	5	5	5	5	10	1199	1223
A14	49	48	10	10	10	10	20	1241	1247
A15	50	51	30	30	30	30	60	1073	1099
A16	51	52	12	12	12	12	24	1320	1332
A17	55	56	4	4	4	4	8	1278	1290
A18	57	56	49	49	49	49	98	1084	1111
A19	59	58	40	40	40	40	80	1247	1269
A20	60	61	35	35	35	35	70	1374	1385
A21	62	57	14	14	14	14	28	1076	1097
A22	63	64	9	9	9	9	18	1082	1104
A23	66	62	37	37	37	37	74	1026	1041
A24	67	68	9	9	9	9	18	1398	1419
A25	67	69	4	4	4	4	8	1328	1357
A26	70	71	9	9	9	9	18	1046	1050
A27	74	72	15	15	15	15	30	1286	1308
A28	71	75	36	36	36	36	72	1444	1447
A29	46	77	16	16	16	16	32	1296	1301
A30	78	77	15	15	15	15	30	1081	1092
A31	80	79	12	12	12	12	24	1179	1195
A32	82	80	16	16	16	16	32	1265	1287
A33	83	82	10	10	10	10	20	1152	1181
A34	81	83	17	17	17	17	34	1288	1314
A35	92	84	29	29	29	29	58	1081	1105
A36	64	93	28	28	28	28	56	1444	1446
A37	97	96	17	17	17	17	34	1350	1359
A38	96	99	10	10	10	10	20	1037	1055
A39	99	100	33	33	33	33	66	1255	1284
A40	107	110	8	8	8	8	16	1416	1423
A41	107	112	13	13	13	13	26	1356	1361
A42	112	113	4	4	4	4	8	1310	1311
A43	113	103	46	46	46	46	92	1206	1226
A44	113	114	12	12	12	12	24	1336	1355
A45	116	115	10	10	10	10	20	1304	1322
A46	117	115	20	20	20	20	40	1460	1480
A47	117	119	24	24	24	24	48	1130	1156
A48	119	120	14	14	14	14	28	1343	1345
A49	129	128	23	23	23	23	46	1413	1422
A50	127	129	11	11	11	11	22	1094	1107
A51	131	132	5	5	5	5	10	1060	1080
A52	132	133	7	7	7	7	14	1191	1214
A53	134	135	14	14	14	14	28	1396	1412
A54	136	138	5	5	5	5	10	1249	1266
A55	138	125	20	20	20	20	40	1432	1446
A56	140	55	14	14	14	14	28	1231	1256
A57	54	140	18	18	18	18	36	1247	1255

ARC	FROM N.	TO N.	T. COST	T. TIME
NrA1	8	11	48	48
NrA2	15	17	13	13
NrA3	12	20	34	34
NrA4	33	11	24	24
NrA5	57	58	20	20
NrA6	82	84	13	13
NrA7	84	83	18	18
NrA8	86	85	20	20
NrA9	89	92	10	10
NrA10	95	96	8	8
NrA11	106	108	38	38
NrA12	138	131	47	47
NrA13	10	9	12	12
NrA14	23	21	55	55
NrA15	26	23	20	20
NrA16	56	65	30	30
NrA17	88	89	14	14
NrA18	90	88	12	12
NrA19	90	91	7	7
NrA20	68	90	67	67
NrA21	91	66	69	69
NrA22	93	94	17	17
NrA23	100	94	17	17
NrA24	94	101	4	4
NrA25	101	102	17	17
NrA26	102	103	42	42
NrA27	91	118	35	35
NrA28	123	122	15	15
NrA29	120	123	32	32
