Name:		TWs6
Optimal value:	-1
#Vehicles:	-1
Capacity:	230
Depot Node:	1
#Nodes:	140
#Edges:	112
#Arcs:	78
#Required N:	52
#Required E:	83
#Required A:	55

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N92	10	0	20	1472	1476
N94	17	0	34	1337	1341
N96	17	0	34	1310	1310
N99	10	0	20	1336	1342
N107	28	0	56	1333	1335
N110	8	0	16	1413	1416
N112	13	0	26	1479	1488
N103	46	0	92	1191	1198
N114	12	0	24	1471	1480
N115	10	0	20	1396	1401
N117	24	0	48	1231	1239
N118	58	0	116	1090	1096
N120	16	0	32	1419	1426
N122	15	0	30	1249	1250
N123	15	0	30	1069	1072
N125	32	0	64	1418	1426
N126	11	0	22	1197	1203
N128	41	0	82	1053	1059
N127	11	0	22	1165	1165
N130	35	0	70	1213	1222
N131	26	0	52	1291	1293
N132	7	0	14	1243	1244
N135	19	0	38	1258	1260
N138	5	0	10	1364	1370
N11	50	0	100	1146	1147
N6	26	0	52	1420	1423
N8	10	0	20	1455	1456
N10	12	0	24	1138	1143
N12	25	0	50	1182	1187
N17	13	0	26	1068	1076
N23	56	0	112	1141	1144
N27	19	0	38	1096	1102
N29	5	0	10	1032	1032
N36	20	0	40	1319	1322
N43	5	0	10	1219	1228
N37	16	0	32	1199	1207
N45	14	0	28	1241	1243
N46	5	0	10	1309	1311
N60	15	0	30	1037	1046
N61	13	0	26	1398	1405
N62	14	0	28	1328	1337
N63	7	0	14	1319	1326
N68	9	0	18	1025	1026
N71	6	0	12	1435	1435
N72	18	0	36	1296	1297
N44	36	0	72	1179	1184
N74	27	0	54	1265	1272
N78	15	0	30	1373	1379
N80	10	0	20	1489	1496
N82	13	0	26	1444	1444
N86	33	0	66	1037	1043
N90	7	0	14	1140	1145

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	6	7	21	21	21	21	42	1391	1398
E2	8	11	48	48	48	48	96	1238	1244
E3	12	13	12	12	12	12	24	1476	1485
E4	13	14	18	18	18	18	36	1317	1324
E5	15	16	8	8	8	8	16	1008	1010
E6	17	18	8	8	8	8	16	1499	1501
E7	18	19	6	6	6	6	12	1256	1264
E8	10	19	28	28	28	28	56	1306	1308
E9	12	20	34	34	34	34	68	1318	1323
E10	20	21	58	58	58	58	116	1246	1255
E11	20	22	10	10	10	10	20	1146	1153
E12	21	23	55	55	55	55	110	1263	1270
E13	20	24	33	33	33	33	66	1200	1208
E14	25	26	48	48	48	48	96	1034	1043
E15	23	26	20	20	20	20	40	1262	1262
E16	30	31	41	41	41	41	82	1119	1128
E17	26	31	12	12	12	12	24	1451	1459
E18	30	32	28	28	28	28	56	1133	1138
E19	11	33	24	24	24	24	48	1256	1262
E20	34	139	49	49	49	49	98	1265	1265
E21	35	37	17	17	17	17	34	1142	1149
E22	38	39	6	6	6	6	12	1220	1228
E23	39	40	18	18	18	18	36	1414	1417
E24	40	41	12	12	12	12	24	1114	1122
E25	38	41	10	10	10	10	20	1175	1181
E26	41	47	99	99	99	99	198	1478	1483
E27	37	42	17	17	17	17	34	1328	1336
E28	43	44	31	31	31	31	62	1342	1351
E29	42	47	4	4	4	4	8	1073	1081
E30	46	47	7	7	7	7	14	1320	1324
E31	33	139	13	13	13	13	26	1393	1396
E32	48	139	49	49	49	49	98	1223	1225
E33	48	49	10	10	10	10	20	1093	1095
E34	50	51	30	30	30	30	60	1084	1093
E35	51	52	12	12	12	12	24	1051	1052
E36	52	53	12	12	12	12	24	1247	1254
E37	53	140	24	24	24	24	48	1492	1501
E38	49	140	24	24	24	24	48	1342	1345
E39	54	55	10	10	10	10	20	1374	1377
E40	56	57	49	49	49	49	98	1292	1294
E41	57	58	20	20	20	20	40	1076	1083
